frame,time,vision_latency_ms,pipeline_latency_ms,ndet,ntrack,temp,cooldown,suppressed
0,1775670817.7905605,96.94657499994719, 0.42403599991303054,0,0,27.8,0.0,0
1,1775670817.8132327,20.686265999984244, 0.3082040000208508,0,0,27.8,0.0,0
2,1775670817.872025,22.750015000156054, 0.7333189998917078,0,0,27.8,0.0,0
3,1775670817.8871267,12.416034999887415, 0.2622219999466324,0,0,27.8,0.0,0
4,1775670817.9235423,20.8908419999716, 0.46546799990210275,0,0,27.8,0.0,0
5,1775670817.9533486,20.16069899991635, 0.30418100004681037,0,0,27.8,0.0,0
6,1775670817.9809642,19.108786000060718, 0.25496200009911263,0,0,27.8,0.0,0
7,1775670818.0804029,24.659189999965747, 0.48134400003618794,0,0,27.8,0.0,0
8,1775670818.1017394,18.509706000031656, 0.29057800020382274,0,0,27.8,0.0,0
9,1775670818.1186934,12.776319000067815, 0.2511069999400206,0,0,27.8,0.0,0
10,1775670818.158131,21.820362999960707, 0.3587579999475565,0,0,27.8,0.0,0
11,1775670818.1879413,20.364507000067533, 0.3881380000620993,0,0,27.8,0.0,0
12,1775670818.2161012,18.846004999886645, 0.3379530000984232,0,0,27.8,0.0,0
13,1775670818.2447667,19.182466999836834, 0.27831499983221875,0,0,27.8,0.0,0
14,1775670818.2778327,20.662600999912684, 0.3434039999774541,0,0,27.8,0.0,0
15,1775670818.306112,20.007453000062014, 0.3018079999037582,0,0,27.8,0.0,0
16,1775670818.3350835,19.757233999825985, 0.3191060000062862,0,0,27.8,0.0,0
17,1775670818.3648329,20.08121500011839, 0.2477949999502016,0,0,27.8,0.0,0
18,1775670818.3945696,19.06122799982768, 0.343096000051446,0,0,27.8,0.0,0
19,1775670818.4286785,20.649841000022207, 0.32841400002325827,0,0,27.8,0.0,0
20,1775670818.453686,18.230143999971915, 0.2921699999660632,0,0,27.8,0.0,0
21,1775670818.502281,22.178395999844724, 0.35308900010022626,0,0,27.8,0.0,0
22,1775670818.5202947,15.503411000054257, 0.26907000005849113,0,0,27.8,0.0,0
23,1775670818.5355914,11.828196999886131, 0.25247799999306153,0,0,27.8,0.0,0
24,1775670818.572666,20.596833999888986, 0.4237779999129998,0,0,27.8,0.0,0
25,1775670818.6057112,21.56130999992456, 0.416588000007323,0,0,27.8,0.0,0
26,1775670818.626777,16.343377000112014, 0.2880170000025828,0,0,27.8,0.0,0
27,1775670818.6624484,19.858810999949128, 0.3387039998870023,0,0,27.8,0.0,0
28,1775670818.6936433,20.269608000035078, 0.30746699985684245,0,0,27.8,0.0,0
29,1775670818.721916,20.13884699999835, 0.2692479999950592,0,0,27.8,0.0,0
30,1775670818.7666886,21.947503000092183, 0.36300200008554384,0,0,27.8,0.0,0
31,1775670818.7840097,15.430268000045544, 0.2695430000585475,0,0,27.8,0.0,0
32,1775670818.8065917,15.704841000115266, 0.3499829999782378,0,0,27.8,0.0,0
33,1775670818.8421006,20.374909999873125, 0.27696600000126637,0,0,27.8,0.0,0
34,1775670818.8686326,18.87623400011762, 0.29606799989778665,0,0,27.8,0.0,0
35,1775670818.9005802,20.55513499999506, 0.35627399984150543,0,0,27.8,0.0,0
36,1775670818.9291067,19.14394200002789, 0.2769899999748304,0,0,27.8,0.0,0
37,1775670818.9603002,21.309904999952778, 0.28996100013500836,0,0,27.8,0.0,0
38,1775670818.9900181,20.48568999998679, 0.334314999918206,0,0,27.8,0.0,0
39,1775670819.0158796,17.954506000023684, 0.25428000003557827,0,0,27.8,0.0,0
40,1775670819.0495996,21.665876000042772, 0.3598250000322878,0,0,27.8,0.0,0
41,1775670819.0777283,19.252991000030306, 0.2583049999884679,0,0,27.8,0.0,0
42,1775670819.1106553,20.631730000104653, 0.25230599999304104,0,0,27.8,0.0,0
43,1775670819.138019,19.565947000046435, 0.4185190000498551,0,0,27.8,0.0,0
