frame,time,vision_latency_ms,pipeline_latency_ms,ndet,ntrack,temp,cooldown,suppressed
0,1776963701.0776458,25.682478999442537, 0.2009029994951561,2,0,27.8,0.0,0
1,1776963701.1485274,27.833849000671762, 0.2563420002843486,2,2,27.8,0.0,0
2,1776963701.2034335,21.926614999756566, 0.27596400104812346,2,2,27.8,0.0,0
3,1776963701.4818609,13.81384899832483, 263.0384939984651,1,1,27.8,0.0,0
5,1776963701.48612,0.24954500077001285, 0.37487699955818243,0,1,27.8,0.0,1
6,1776963701.496279,0.22892299966770224, 0.4871400014963001,0,1,27.8,0.0,1
7,1776963701.5264492,0.326257000779151, 0.4144419999647653,0,1,27.8,0.0,1
8,1776963701.5580885,2.085611000438803, 0.3955709998990642,0,0,27.8,0.0,1
9,1776963701.5905962,0.03720799941220321, 0.2972310012410162,0,0,27.8,0.0,1
10,1776963701.615411,0.04097600140084978, 0.4262870006641606,0,0,27.8,0.0,1
11,1776963701.6453228,0.04314599937060848, 0.40774499939288944,0,0,27.8,0.0,1
12,1776963701.6750603,0.05864600097993389, 0.4449839998414973,0,0,27.8,0.0,1
13,1776963701.7049444,0.09546000001137145, 0.44440599958761595,0,0,27.8,0.0,1
14,1776963701.734307,0.04097499913768843, 0.4276979998394381,0,0,27.8,0.0,1
15,1776963701.7641168,0.10159100020246115, 0.42915899939544033,0,0,27.8,0.0,1
16,1776963701.7940779,0.040483999327989295, 0.5018060001020785,0,0,27.8,0.0,1
17,1776963701.8237715,0.043131998609169386, 0.4992099984519882,0,0,27.8,0.0,1
18,1776963701.8532588,0.09872600094240624, 0.40109299879986793,0,0,27.8,0.0,1
19,1776963701.8829944,0.09927099927153904, 0.43441100024210755,0,0,27.8,0.0,1
20,1776963701.912465,0.08767100007389672, 0.3571229990484426,0,0,27.8,0.0,1
21,1776963701.9422958,0.040684999476070516, 0.41494600009173155,0,0,27.8,0.0,1
22,1776963701.9721382,0.10457799908181187, 0.421792999986792,0,0,27.8,0.0,1
23,1776963702.0020282,0.037383999369922094, 0.491131000671885,0,0,27.8,0.0,1
24,1776963702.0313966,0.09435100037080701, 0.4296770002838457,0,0,27.8,0.0,1
25,1776963702.0612633,0.09720100024424028, 0.4083049989276333,0,0,27.8,0.0,1
26,1776963702.0910258,0.04453899964573793, 0.4303859986976022,0,0,27.8,0.0,1
27,1776963702.1207979,0.03881699922203552, 0.4211840005154954,0,0,27.8,0.0,1
28,1776963702.1506336,0.04166100006841589, 0.47037699914653786,0,0,27.8,0.0,1
29,1776963702.180437,0.045466000301530585, 0.41777699880185537,0,0,27.8,0.0,1
30,1776963702.2100384,0.040070000977721065, 0.4855390016018646,0,0,27.8,0.0,1
31,1776963702.2392628,0.11393999920983333, 0.42775700057973154,0,0,27.8,0.0,1
32,1776963702.2691636,0.05330900057742838, 0.41517499994370155,0,0,27.8,0.0,1
33,1776963702.2990756,0.03917699905287009, 0.4179320003458997,0,0,27.8,0.0,1
34,1776963702.3284268,0.039385000491165556, 0.4094850010005757,0,0,27.8,0.0,1
35,1776963702.358219,0.054307000027620234, 0.4165780010225717,0,0,27.8,0.0,1
36,1776963702.3881764,0.12364499889372382, 0.41431800127611496,0,0,27.8,0.0,1
37,1776963702.4181285,0.03996900159108918, 0.4189120008959435,0,0,27.8,0.0,1
38,1776963702.4472952,0.03855399882013444, 0.4092780000064522,0,0,27.8,0.0,1
38,1776963702.5079117,30.989537999630556, 0.2517610009817872,4,4,27.8,0.0,0
39,1776963702.522624,12.84566799949971, 0.23050199888530187,2,0,27.8,0.0,0
40,1776963702.5561674,19.511059999786085, 0.2394679995632032,3,3,27.8,0.0,0
41,1776963702.584668,18.783555999107193, 0.2427299987175502,5,5,27.8,0.0,0
42,1776963702.8762972,18.94033399912587, 261.98923500123783,4,3,27.8,0.0,0
44,1776963702.8809986,0.3849790009553544, 0.3832649999822024,0,3,27.8,0.0,1
45,1776963702.8929968,0.3367000008438481, 0.4189949995634379,0,3,27.8,0.0,1
46,1776963702.9253705,2.323828000953654, 0.3817430006165523,0,2,27.8,0.0,1
47,1776963702.9587846,0.2389090004726313, 0.28559800011862535,0,0,27.8,0.0,1
48,1776963702.982465,0.10247399950458203, 0.4305519996705698,0,0,27.8,0.0,1
49,1776963703.0121672,0.1166279998869868, 0.4263600003469037,0,0,27.8,0.0,1
50,1776963703.041977,0.03896099951816723, 0.43707300028472673,0,0,27.8,0.0,1
51,1776963703.0718684,0.09440400026505813, 0.4546330001176102,0,0,27.8,0.0,1
52,1776963703.1017404,0.10987600035150535, 0.4299040010664612,0,0,27.8,0.0,1
53,1776963703.1310701,0.11126400022476446, 0.43941600051766727,0,0,27.8,0.0,1
54,1776963703.1609619,0.03991700032202061, 0.4956169996148674,0,0,27.8,0.0,1
55,1776963703.1908941,0.10923800073214807, 0.44922600136487745,0,0,27.8,0.0,1
56,1776963703.220224,0.04304699905333109, 0.4315129990573041,0,0,27.8,0.0,1
57,1776963703.2499352,0.043321999328327365, 0.4366020002635196,0,0,27.8,0.0,1
58,1776963703.2794323,0.03984199975093361, 0.48474800132680684,0,0,27.8,0.0,1
59,1776963703.3096921,0.04575500133796595, 0.46631600162072573,0,0,27.8,0.0,1
60,1776963703.3394446,0.044537000576383434, 0.49308600137010217,0,0,27.8,0.0,1
61,1776963703.3689184,0.03924799966625869, 0.47647100109315943,0,0,27.8,0.0,1
62,1776963703.3987455,0.0982550009211991, 0.42309699892939534,0,0,27.8,0.0,1
63,1776963703.4282393,0.03975799882027786, 0.4233210001984844,0,0,27.8,0.0,1
64,1776963703.4579477,0.061666998590226285, 0.4231689999869559,0,0,27.8,0.0,1
65,1776963703.4878948,0.03920400013157632, 0.41774800047278404,0,0,27.8,0.0,1
66,1776963703.517293,0.10115799886989407, 0.40729899956204463,0,0,27.8,0.0,1
67,1776963703.5470638,0.04181300027994439, 0.4162599998380756,0,0,27.8,0.0,1
68,1776963703.5768456,0.03766599911614321, 0.42595400009304285,0,0,27.8,0.0,1
69,1776963703.6062748,0.09183300062431954, 0.4111679991183337,0,0,27.8,0.0,1
70,1776963703.6364837,0.09893400056171231, 0.4619310002453858,0,0,27.8,0.0,1
71,1776963703.6663165,0.042904999645543285, 0.4966350006725406,0,0,27.8,0.0,1
72,1776963703.6958828,0.09984399912355002, 0.4211650011711754,0,0,27.8,0.0,1
73,1776963703.725185,0.040815000829752535, 0.4060609990119701,0,0,27.8,0.0,1
74,1776963703.7550952,0.03884999932779465, 0.41712799975357484,0,0,27.8,0.0,1
75,1776963703.7849545,0.03975600156991277, 0.47935099973983597,0,0,27.8,0.0,1
76,1776963703.8143597,0.041585999497328885, 0.4203080006845994,0,0,27.8,0.0,1
77,1776963703.8442025,0.04238899964548182, 0.4049220005981624,0,0,27.8,0.0,1
77,1776963703.9025793,28.857952000180376, 0.2220919996034354,0,0,27.8,0.0,0
78,1776963703.9171567,12.704390999715542, 0.22686200099997222,0,0,27.8,0.0,0
79,1776963703.9509718,19.12226500098768, 0.24507399939466268,0,0,27.8,0.0,0
80,1776963703.9826703,20.052825999300694, 0.22325799909594934,0,0,27.8,0.0,0
81,1776963704.0108771,18.59039800001483, 0.24305400074808858,0,0,27.8,0.0,0
82,1776963704.0406027,19.049800999709987, 0.22134400023787748,0,0,27.8,0.0,0
83,1776963704.0709105,19.44829700005357, 0.22186400019563735,0,0,27.8,0.0,0
84,1776963704.0997639,18.31043799938925, 0.23656500161450822,0,0,27.8,0.0,0
85,1776963704.1303723,19.469157999992603, 0.2209170015703421,0,0,27.8,0.0,0
86,1776963704.159861,18.735100999037968, 0.22186599926499184,0,0,27.8,0.0,0
87,1776963704.188892,18.56496700020216, 0.21498999922187068,0,0,27.8,0.0,0
88,1776963704.2180405,18.307257998458226, 0.24722099988139234,0,0,27.8,0.0,0
89,1776963704.249247,19.648233999760123, 0.21831800040672533,0,0,27.8,0.0,0
90,1776963704.2763479,17.857411001386936, 0.2200980015913956,0,0,27.8,0.0,0
91,1776963704.3078485,19.200078000721987, 0.2231090002169367,0,0,27.8,0.0,0
92,1776963704.3387346,20.006726999781677, 0.22089300000516232,0,0,27.8,0.0,0
93,1776963704.368045,18.68909299992083, 0.22476499907497782,0,0,27.8,0.0,0
94,1776963704.3960805,18.319367000003695, 0.24216999918280635,0,0,27.8,0.0,0
95,1776963704.4282749,19.690031000209274, 0.2144070003851084,0,0,27.8,0.0,0
96,1776963704.4568357,18.53807699990284, 0.23175199930847157,0,0,27.8,0.0,0
97,1776963704.4873602,19.446803999016993, 0.22243400053412188,0,0,27.8,0.0,0
98,1776963704.5154333,17.741114999807905, 0.33842100128822494,0,0,27.8,0.0,0
99,1776963704.588113,22.071252000387176, 0.3196800007572165,0,0,27.8,0.0,0
100,1776963704.6073892,16.0332470004505, 0.22167200040712487,0,0,27.8,0.0,0
101,1776963704.638533,18.89781700083404, 0.21299100080796052,0,0,27.8,0.0,0
102,1776963704.6651592,17.371873998854426, 0.21042399930593092,0,0,27.8,0.0,0
103,1776963704.691253,16.717075999622466, 0.24262999977509025,0,0,27.8,0.0,0
104,1776963704.7248654,20.163668999884976, 0.24370400024054106,0,0,27.8,0.0,0
105,1776963704.7540123,18.81056499951228, 0.22919000002730172,0,0,27.8,0.0,0
