frame,track,score,x,y,hit_time,hit_confirmed,redirects
3,2,0.0701,1142.4,1305.0,0.250,True,0
42,8,0.1044,1456.0,984.7,0.250,True,0
201,14,0.0776,1066.4,608.5,0.250,True,0
243,20,0.1002,644.6,942.4,0.250,True,0
282,26,0.0684,1408.3,1147.0,0.250,True,0
321,32,0.0883,1010.0,912.5,0.250,True,0
358,35,0.1396,981.0,829.0,0.250,True,0
395,36,0.0849,713.0,510.5,0.250,True,0
575,38,0.0465,795.7,1283.3,0.250,True,0
612,39,0.1000,374.8,1008.5,0.250,True,0
665,42,0.0521,938.3,1291.2,0.250,True,0
714,45,0.0759,1412.4,864.8,0.250,True,0
753,49,0.0865,1254.2,1184.0,0.250,True,0
792,55,0.0790,670.3,1229.1,0.250,True,0
873,60,0.0856,828.9,1367.1,0.250,True,0
912,64,0.1150,838.2,942.7,0.250,True,0
951,73,0.1110,1047.0,1182.9,0.250,True,0
990,82,0.1240,851.2,982.1,0.250,True,0
1029,88,0.0941,483.2,1105.6,0.250,True,0
1085,90,0.0908,752.3,341.8,0.250,True,0
1125,94,0.0685,1309.1,1207.7,0.250,True,0
1162,95,0.1019,1409.6,711.4,0.250,True,0
1206,98,0.0406,785.4,1406.2,0.250,True,0
1245,103,0.0945,752.0,708.0,0.250,True,0
1284,118,0.1018,1230.0,404.6,0.250,True,0
1323,137,0.1065,1117.1,986.5,0.250,True,0
1398,139,0.1016,754.3,434.0,0.250,True,0
1437,144,0.0595,1188.4,464.8,0.250,True,0
1482,147,0.1488,1077.9,474.9,0.250,True,0
1519,148,0.0396,985.7,1427.8,0.250,True,0
1556,149,0.0428,1394.5,661.6,0.250,True,0
1593,150,0.0755,1128.2,1174.3,0.250,True,0
1782,154,0.1214,864.7,1218.7,0.250,True,0
1821,158,0.0583,1280.4,1000.5,0.250,True,0
1904,160,0.0881,508.6,1216.0,0.250,True,0
2009,162,0.0814,1163.8,1344.4,0.250,True,0
2061,169,0.1045,877.8,1272.7,0.250,True,0
2304,183,0.0594,1054.8,306.2,0.250,True,0
2343,189,0.0942,1557.3,695.9,0.250,True,0
2383,193,0.0623,1383.6,1013.9,0.250,True,0
2432,194,0.1248,1040.2,1108.1,0.250,True,0
2642,196,0.1148,1065.1,1257.3,0.250,True,0
2679,200,0.0899,1377.4,1173.9,0.250,True,0
2718,208,0.0657,1123.5,1067.9,0.250,True,0
2757,216,0.1408,1363.8,1080.9,0.250,True,0
2796,222,0.1161,918.0,1230.7,0.250,True,0
2835,230,0.1045,1314.6,1046.3,0.250,True,0
2872,234,0.0847,579.4,1279.8,0.250,True,0
2910,238,0.0561,1378.1,653.8,0.250,True,0
2949,242,0.1081,1113.6,1101.6,0.250,True,0
2986,244,0.1143,1476.3,742.2,0.250,True,0
3084,247,0.0995,1156.4,1296.2,0.250,True,0
3123,251,0.0656,1420.0,1206.7,0.250,True,0
3204,252,0.0614,1078.3,1383.6,0.250,True,0
3243,258,0.0914,1409.9,1205.3,0.250,True,0
3282,264,0.1265,1113.5,1179.4,0.250,True,0
3327,270,0.0572,1119.8,683.5,0.250,True,0
3389,275,0.0745,1155.5,701.6,0.250,True,0
3588,278,0.0904,1132.1,1188.4,0.250,True,0
3627,288,0.1214,915.5,1329.2,0.250,True,0
3666,295,0.1436,816.4,1336.3,0.250,True,0
3894,301,0.1444,785.1,1400.1,0.250,True,0
3939,304,0.0670,1542.4,720.4,0.250,True,0
3978,311,0.1050,1154.9,1046.6,0.250,True,0
4024,315,0.0705,1060.3,936.1,0.250,True,0
4062,319,0.0938,1270.4,1204.3,0.250,True,0
4099,322,0.1042,621.7,1282.1,0.250,True,0
4137,323,0.0955,1347.6,1190.6,0.250,True,0
4203,329,0.0662,576.6,723.5,0.250,True,0
4242,334,0.0977,453.3,1034.2,0.250,True,0
4281,342,0.1062,1096.1,1101.3,0.250,True,0
4324,344,0.1168,1027.0,1275.3,0.250,True,0
4362,349,0.1356,991.2,1398.0,0.250,True,0
4442,351,0.1599,929.3,1430.1,0.250,True,0
4479,355,0.1239,1167.7,1391.8,0.250,True,0
4516,357,0.1098,1359.6,947.7,0.250,True,0
4554,363,0.1273,1336.1,835.8,0.250,True,0
4704,373,0.1257,1506.6,774.4,0.250,True,0
4743,381,0.1077,1313.2,650.5,0.250,True,0
4780,385,0.0495,1052.8,1295.8,0.250,True,0
4863,388,0.1349,883.7,1368.6,0.250,True,0
4928,390,0.0590,1294.5,1184.2,0.250,True,0
4965,391,0.0665,612.2,732.4,0.250,True,0
5021,393,0.0838,594.0,1236.3,0.250,True,0
5058,396,0.1391,656.5,1335.4,0.250,True,0
5124,400,0.0770,339.5,664.7,0.250,True,0
5193,403,0.0470,1004.6,1045.9,0.250,True,0
5232,411,0.1117,1520.9,786.1,0.250,True,0
5283,415,0.1032,986.1,969.5,0.250,True,0
5322,422,0.0944,762.3,1270.0,0.250,True,0
5709,426,0.1014,1324.5,1026.0,0.250,True,0
5748,434,0.1295,1147.0,1168.0,0.250,True,0
5880,441,0.0687,336.6,784.0,0.250,True,0
5919,445,0.1139,823.7,623.2,0.250,True,0
5958,449,0.1311,778.1,368.9,0.250,True,0
5997,453,0.0975,1015.7,711.1,0.250,True,0
6038,455,0.0800,866.8,1320.2,0.250,True,0
6075,458,0.0528,1196.9,806.3,0.250,True,0
6114,463,0.1091,1093.3,1221.5,0.250,True,0
6204,467,0.1116,530.9,1166.3,0.250,True,0
6281,469,0.0640,1520.0,820.5,0.250,True,0
