frame,track,x,y,vx,vy,speed,state,cov
13,0,787.0,504.0,0.00,0.00,0.00,0,12.01
14,0,786.3,503.7,-0.02,-0.01,0.02,0,7.48
14,1,790.0,510.0,0.00,0.00,0.00,0,12.01
15,0,787.3,504.8,0.05,0.07,0.08,0,6.31
17,0,787.3,504.8,0.05,0.07,0.08,0,9.94
18,0,787.3,504.8,0.05,0.07,0.08,0,12.13
19,0,787.3,504.8,0.05,0.07,0.08,0,14.47
76,2,1033.0,1286.0,0.00,0.00,0.00,0,12.01
77,2,1033.0,1286.7,0.00,0.01,0.01,0,7.47
77,3,1034.0,1276.0,0.00,0.00,0.00,0,12.01
78,2,1033.0,1284.4,0.00,-0.13,0.13,0,6.30
80,2,1033.0,1284.4,0.00,-0.13,0.13,0,9.97
81,2,1033.0,1284.4,0.00,-0.13,0.13,0,12.12
82,2,1033.0,1284.4,0.00,-0.13,0.13,0,14.46
137,4,538.0,505.0,0.00,0.00,0.00,0,12.01
138,4,538.0,505.0,0.00,0.00,0.00,0,14.04
139,4,538.0,505.0,0.00,0.00,0.00,0,16.08
139,5,874.0,344.0,0.00,0.00,0.00,0,12.01
141,4,538.0,505.0,0.00,0.00,0.00,0,19.95
141,5,874.0,344.0,0.00,0.00,0.00,0,15.12
142,5,874.0,344.0,0.00,0.00,0.00,0,17.24
143,5,874.0,344.0,0.00,0.00,0.00,0,19.49
191,6,362.0,755.0,0.00,0.00,0.00,0,12.01
192,6,363.6,755.0,0.04,0.00,0.04,0,7.48
193,6,364.5,754.7,0.10,-0.02,0.10,0,6.31
193,7,371.0,750.0,0.00,0.00,0.00,0,12.01
195,6,364.5,754.7,0.10,-0.02,0.10,0,9.95
195,7,371.0,750.0,0.00,0.00,0.00,0,15.12
196,6,364.5,754.7,0.10,-0.02,0.10,0,12.12
196,7,371.0,750.0,0.00,0.00,0.00,0,17.24
197,6,364.5,754.7,0.10,-0.02,0.10,0,14.46
197,7,371.0,750.0,0.00,0.00,0.00,0,19.48
258,8,833.0,1106.0,0.00,0.00,0.00,0,12.01
259,8,830.7,1107.3,-0.06,0.03,0.07,0,7.47
260,8,830.7,1107.3,-0.06,0.03,0.07,0,9.52
262,8,830.7,1107.3,-0.06,0.03,0.07,0,13.30
263,8,830.7,1107.3,-0.06,0.03,0.07,0,15.46
295,9,1468.0,863.0,0.00,0.00,0.00,0,12.01
296,9,1467.7,861.4,-0.01,-0.04,0.04,0,7.48
296,10,1464.0,851.0,0.00,0.00,0.00,0,12.01
297,9,1466.5,857.4,-0.10,-0.33,0.34,0,6.31
299,9,1466.4,857.3,-0.10,-0.33,0.34,0,9.97
300,9,1466.4,857.3,-0.10,-0.33,0.34,0,12.11
301,9,1466.4,857.3,-0.10,-0.33,0.34,0,14.50
361,11,1412.0,878.0,0.00,0.00,0.00,0,12.01
361,12,1424.0,879.0,0.00,0.00,0.00,0,12.01
362,11,1412.3,878.0,0.01,0.00,0.01,0,7.48
362,12,1416.1,877.7,-0.20,-0.03,0.20,0,7.48
363,11,1409.4,877.2,-0.18,-0.05,0.19,0,6.31
365,11,1409.4,877.2,-0.18,-0.05,0.19,0,9.93
366,11,1409.4,877.2,-0.18,-0.05,0.19,0,12.13
367,11,1409.4,877.2,-0.18,-0.05,0.19,0,14.47
404,13,655.0,726.0,0.00,0.00,0.00,0,12.01
406,15,657.0,732.0,0.00,0.00,0.00,0,12.01
407,15,657.0,732.0,0.00,0.00,0.00,0,14.04
408,15,657.0,732.0,0.00,0.00,0.00,0,16.14
410,15,657.0,732.0,0.00,0.00,0.00,0,20.24
470,17,1296.0,942.0,0.00,0.00,0.00,0,12.01
472,19,1296.0,951.0,0.00,0.00,0.00,0,12.01
472,20,1300.0,961.0,0.00,0.00,0.00,0,12.01
473,19,1297.0,953.9,0.02,0.07,0.08,0,7.48
473,20,1301.3,964.3,0.03,0.08,0.09,0,7.48
474,19,1298.8,958.1,0.14,0.35,0.37,0,6.31
476,19,1298.8,958.2,0.14,0.35,0.37,0,9.98
477,19,1298.8,958.2,0.14,0.35,0.37,0,12.12
478,19,1298.8,958.2,0.14,0.35,0.37,0,14.47
509,21,755.0,954.0,0.00,0.00,0.00,0,12.01
509,22,883.0,985.0,0.00,0.00,0.00,0,12.01
509,23,1055.0,1204.0,0.00,0.00,0.00,0,12.01
513,24,853.0,961.0,0.00,0.00,0.00,0,12.01
514,24,852.0,960.7,-0.03,-0.01,0.03,0,7.47
515,24,852.0,960.7,-0.03,-0.01,0.03,0,9.51
517,24,852.0,960.7,-0.03,-0.01,0.03,0,13.29
518,24,852.0,960.7,-0.03,-0.01,0.03,0,15.45
573,25,585.0,1178.0,0.00,0.00,0.00,0,12.01
574,25,585.0,1178.0,0.00,0.00,0.00,0,14.03
575,25,589.9,1181.2,0.22,0.14,0.26,0,7.87
577,25,590.0,1181.2,0.22,0.14,0.26,0,11.54
578,25,590.0,1181.2,0.22,0.14,0.26,0,13.69
579,25,590.0,1181.2,0.22,0.14,0.26,0,16.04
610,26,451.0,810.0,0.00,0.00,0.00,0,12.01
611,26,450.3,808.7,-0.02,-0.03,0.04,0,7.48
612,26,448.7,808.0,-0.13,-0.08,0.15,0,6.31
614,26,448.7,808.0,-0.13,-0.08,0.15,0,10.00
615,26,448.7,808.0,-0.13,-0.08,0.15,0,12.11
616,26,448.7,808.0,-0.13,-0.08,0.15,0,14.46
647,27,1197.0,960.0,0.00,0.00,0.00,0,12.01
