frame,track,x,y,vx,vy,speed,state,cov
631,0,502.0,261.0,0.00,0.00,0.00,0,12.01
631,1,1364.0,312.0,0.00,0.00,0.00,0,12.01
632,0,502.0,257.7,0.00,-0.09,0.09,0,7.48
632,1,1364.0,312.0,0.00,0.00,0.00,0,14.04
633,0,502.0,257.7,0.00,-0.09,0.09,0,9.52
633,1,1364.0,312.0,0.00,0.00,0.00,0,16.09
635,0,502.0,257.7,0.00,-0.09,0.09,0,13.32
635,1,1364.0,312.0,0.00,0.00,0.00,0,19.99
636,0,502.0,257.7,0.00,-0.09,0.09,0,15.46
711,2,503.0,189.0,0.00,0.00,0.00,0,12.01
712,2,503.0,188.7,0.00,-0.01,0.01,0,7.47
713,2,503.0,188.2,0.00,-0.04,0.04,0,6.30
713,3,503.0,207.0,0.00,0.00,0.00,0,12.01
715,2,503.0,188.2,0.00,-0.04,0.04,0,9.93
715,3,503.0,207.0,0.00,0.00,0.00,0,15.10
716,2,503.0,188.2,0.00,-0.04,0.04,0,12.13
716,3,503.0,207.0,0.00,0.00,0.00,0,17.24
717,2,503.0,188.2,0.00,-0.04,0.04,0,14.47
717,3,503.0,207.0,0.00,0.00,0.00,0,19.49
757,4,503.0,166.0,0.00,0.00,0.00,0,12.01
758,4,503.0,166.0,0.00,0.00,0.00,0,7.48
759,4,503.0,166.0,0.00,0.00,0.00,0,9.52
761,4,503.0,166.0,0.00,0.00,0.00,0,13.27
762,4,503.0,166.0,0.00,0.00,0.00,0,15.47
887,5,503.0,160.0,0.00,0.00,0.00,0,12.01
888,5,503.0,160.0,0.00,0.00,0.00,0,14.04
889,5,503.0,160.0,0.00,0.00,0.00,0,16.09
891,5,503.0,160.0,0.00,0.00,0.00,0,19.94
1013,6,504.0,158.0,0.00,0.00,0.00,0,12.01
1014,6,503.7,161.3,-0.01,0.09,0.09,0,7.50
1015,6,503.5,161.2,-0.03,0.08,0.08,0,6.32
1015,7,503.0,147.0,0.00,0.00,0.00,0,12.01
1015,8,504.0,214.0,0.00,0.00,0.00,0,12.01
1015,9,1387.0,223.0,0.00,0.00,0.00,0,12.01
1015,10,1386.0,231.0,0.00,0.00,0.00,0,12.01
1017,6,503.5,161.2,-0.03,0.08,0.08,0,9.96
1017,7,503.0,147.0,0.00,0.00,0.00,0,15.06
1017,8,504.0,214.0,0.00,0.00,0.00,0,15.06
1017,9,1387.0,223.0,0.00,0.00,0.00,0,15.06
1017,10,1386.0,231.0,0.00,0.00,0.00,0,15.06
1018,6,503.5,161.2,-0.03,0.08,0.08,0,11.98
1018,7,503.0,147.0,0.00,0.00,0.00,0,17.07
1018,8,504.0,214.0,0.00,0.00,0.00,0,17.07
1018,9,1387.0,223.0,0.00,0.00,0.00,0,17.07
1018,10,1386.0,231.0,0.00,0.00,0.00,0,17.07
1019,6,503.5,161.2,-0.03,0.08,0.08,0,14.32
1019,7,503.0,147.0,0.00,0.00,0.00,0,19.31
1019,8,504.0,214.0,0.00,0.00,0.00,0,19.31
1019,9,1387.0,223.0,0.00,0.00,0.00,0,19.31
1019,10,1386.0,231.0,0.00,0.00,0.00,0,19.31
1254,11,506.0,164.0,0.00,0.00,0.00,0,12.01
1255,11,506.0,164.0,0.00,0.00,0.00,0,14.04
1256,11,506.0,164.0,0.00,0.00,0.00,0,16.09
1258,11,506.0,164.0,0.00,0.00,0.00,0,19.94
1429,12,504.0,382.0,0.00,0.00,0.00,0,12.01
1430,12,504.3,381.7,0.01,-0.01,0.01,0,7.47
1431,12,504.2,381.8,0.00,-0.00,0.00,0,6.31
1433,12,504.2,381.8,0.00,-0.00,0.00,0,9.97
1434,12,504.2,381.8,0.00,-0.00,0.00,0,12.13
1435,12,504.2,381.8,0.00,-0.00,0.00,0,14.47
2018,13,503.0,188.0,0.00,0.00,0.00,0,12.01
2019,13,503.0,187.3,0.00,-0.02,0.02,0,7.47
2020,13,503.0,187.3,0.00,-0.02,0.02,0,9.52
2022,13,503.0,187.3,0.00,-0.02,0.02,0,13.28
2023,13,503.0,187.3,0.00,-0.02,0.02,0,15.46
