frame,track,score,x,y,hit_time,hit_confirmed,redirects
62,0,0.0845,587.8,210.2,0.250,True,0
141,1,0.0499,1217.8,484.5,0.250,True,0
179,2,0.0657,1433.7,651.2,0.250,True,0
258,3,0.0434,629.6,948.6,0.250,True,0
332,4,0.0894,1159.2,334.2,0.250,True,0
427,6,0.0804,464.6,976.3,0.250,True,0
471,9,0.0614,1384.7,1262.8,0.250,True,0
508,11,0.0598,669.5,258.4,0.250,True,0
666,13,0.0530,1228.0,491.6,0.250,True,0
795,18,0.0543,858.4,929.9,0.250,True,0
835,19,0.0545,1240.7,511.4,0.250,True,0
929,20,0.1387,1387.1,390.8,0.250,True,0
966,22,0.0837,1263.2,779.8,0.250,True,0
1003,24,0.1204,1077.4,853.6,0.250,True,0
1040,25,0.1259,1289.7,829.7,0.250,True,0
