frame,time,vision_latency_ms,pipeline_latency_ms,ndet,ntrack,temp,cooldown,suppressed
0,1776085797.280183,25.811084999986633, 0.22089499998401152,0,0,27.8,0.0,0
1,1776085797.300381,17.037852000157727, 0.23368800020762137,0,0,27.8,0.0,0
2,1776085797.3500068,21.872543999961636, 0.24632800023027812,0,0,27.8,0.0,0
3,1776085797.365686,13.825474999975995, 0.2417709997644124,0,0,27.8,0.0,0
4,1776085797.3850415,13.37184400017577, 0.21802099990964052,0,0,27.8,0.0,0
5,1776085797.418914,18.571249999695283, 0.2535059998081124,0,0,27.8,0.0,0
6,1776085797.4500315,18.871713999942585, 0.22481299993160064,0,0,27.8,0.0,0
7,1776085797.4795375,19.234669000070426, 0.23484099983761553,0,0,27.8,0.0,0
8,1776085797.5087426,17.860273999758647, 0.23359400029221433,0,0,27.8,0.0,0
9,1776085797.5389776,19.446932000391826, 0.2070550003736571,0,0,27.8,0.0,0
10,1776085797.5691297,19.384707999961392, 0.21850899975106586,0,0,27.8,0.0,0
11,1776085797.598693,18.499417999919388, 0.24737500007177005,0,0,27.8,0.0,0
12,1776085797.6259203,17.575966000094922, 0.21773699972982286,0,0,27.8,0.0,0
13,1776085797.6575422,19.176074999904813, 0.23277699983736966,0,0,27.8,0.0,0
14,1776085797.6876562,18.965894000302796, 0.22811500002717366,0,0,27.8,0.0,0
15,1776085797.7169297,18.695355000090785, 0.21928499973000726,0,0,27.8,0.0,0
16,1776085797.746894,19.081504000041605, 0.22174400010044337,0,0,27.8,0.0,0
17,1776085797.7764091,18.50193800009947, 0.22150300037537818,0,0,27.8,0.0,0
18,1776085797.8047547,17.451435000111815, 0.22402400009013945,0,0,27.8,0.0,0
19,1776085797.8362932,18.952175000322313, 0.2714459997150698,0,0,27.8,0.0,0
20,1776085797.8644516,18.3943699998963, 0.25078600037886645,0,0,27.8,0.0,0
21,1776085797.897261,20.62259600006655, 0.240313000176684,0,0,27.8,0.0,0
22,1776085797.9243028,18.29342499968334, 0.22235699998418568,0,0,27.8,0.0,0
23,1776085797.955223,19.381727000109095, 0.217959000110568,0,0,27.8,0.0,0
24,1776085797.9850612,19.653759999982867, 0.3108480000264535,0,0,27.8,0.0,0
25,1776085798.0135672,18.466047999936563, 0.28333799991742126,0,0,27.8,0.0,0
26,1776085798.0456455,19.511274000251433, 0.24295899993376224,0,0,27.8,0.0,0
27,1776085798.072114,17.73096600027202, 0.2413279999018414,0,0,27.8,0.0,0
28,1776085798.1042163,19.733266000002914, 0.2276529999107879,0,0,27.8,0.0,0
29,1776085798.1327105,18.576746999769966, 0.22050200004741782,0,0,27.8,0.0,0
30,1776085798.1624942,19.062437000229693, 0.23625999983778456,0,0,27.8,0.0,0
31,1776085798.1918552,18.439026000123704, 0.23746400029267534,0,0,27.8,0.0,0
32,1776085798.2218947,18.864263000068604, 0.23011599978417507,0,0,27.8,0.0,0
33,1776085798.2522147,19.656102000226383, 0.2285400000801019,0,0,27.8,0.0,0
34,1776085798.2813852,18.89042300035726, 0.25473200003034435,0,0,27.8,0.0,0
35,1776085798.3120105,19.043921000047703, 0.23157999976319843,0,0,27.8,0.0,0
36,1776085798.3405478,18.31683199998224, 0.23742799976389506,0,0,27.8,0.0,0
37,1776085798.3716614,19.281498000054853, 0.227144000291446,0,0,27.8,0.0,0
38,1776085798.3987784,16.65603000037663, 0.2583199998298369,0,0,27.8,0.0,0
39,1776085798.4294102,19.161694999638712, 0.23814499991203775,0,0,27.8,0.0,0
40,1776085798.460499,19.633157000043866, 0.2665860001798137,0,0,27.8,0.0,0
41,1776085798.4893744,18.926630999885674, 0.23288300008061924,0,0,27.8,0.0,0
42,1776085798.5183356,18.452667000019574, 0.24160599969036411,0,0,27.8,0.0,0
43,1776085798.5516624,20.750283999859676, 0.2692129996830772,0,0,27.8,0.0,0
44,1776085798.5783703,18.076532000122825, 0.23507200012318208,0,0,27.8,0.0,0
45,1776085798.6077416,18.491377999907854, 0.23291300021810457,0,0,27.8,0.0,0
46,1776085798.6390717,19.53564599989477, 0.21304200026861508,0,0,27.8,0.0,0
47,1776085798.6659203,17.997061999722064, 0.2129409999724885,0,0,27.8,0.0,0
48,1776085798.698057,18.62198399976478, 0.2211009996244684,0,0,27.8,0.0,0
49,1776085798.726643,18.64322399978846, 0.22323200028040446,0,0,27.8,0.0,0
50,1776085798.7581818,20.03958299974329, 0.2306820001649612,0,0,27.8,0.0,0
51,1776085798.7848122,17.947014000128547, 0.21774499964521965,0,0,27.8,0.0,0
52,1776085798.818009,20.36374200042701, 0.21786299976156442,0,0,27.8,0.0,0
53,1776085798.8431277,17.132287000094948, 0.2471170000717393,0,0,27.8,0.0,0
54,1776085798.87643,19.992120000097202, 0.22935200013307622,0,0,27.8,0.0,0
55,1776085798.905849,18.986099999892758, 0.24819999998726416,0,0,27.8,0.0,0
56,1776085798.935455,18.652658000064548, 0.23136700019676937,0,0,27.8,0.0,0
