frame,track,x,y,vx,vy,speed,state,cov
128,0,648.0,787.0,0.00,0.00,0.00,0,12.01
128,1,647.0,795.0,0.00,0.00,0.00,0,12.01
130,2,640.0,754.0,0.00,0.00,0.00,0,12.01
131,2,640.0,754.3,0.00,0.01,0.01,0,7.47
131,3,633.0,737.0,0.00,0.00,0.00,0,12.01
132,2,638.2,750.1,-0.12,-0.26,0.29,0,6.31
134,2,638.2,750.1,-0.12,-0.26,0.29,0,9.96
135,2,638.2,750.1,-0.12,-0.26,0.29,0,12.12
136,2,638.2,750.0,-0.12,-0.26,0.29,0,14.47
167,4,1263.0,534.0,0.00,0.00,0.00,0,12.01
169,6,1289.0,528.0,0.00,0.00,0.00,0,12.01
170,6,1289.0,528.0,0.00,0.00,0.00,0,14.03
171,6,1289.0,528.0,0.00,0.00,0.00,0,16.08
173,6,1289.0,528.0,0.00,0.00,0.00,0,19.99
206,7,1517.0,899.0,0.00,0.00,0.00,0,12.01
207,7,1516.3,899.3,-0.02,0.01,0.02,0,7.48
208,7,1516.3,899.3,-0.02,0.01,0.02,0,9.52
210,7,1516.3,899.3,-0.02,0.01,0.02,0,13.32
211,7,1516.3,899.3,-0.02,0.01,0.02,0,15.47
255,8,827.0,224.0,0.00,0.00,0.00,0,12.01
256,8,823.7,225.6,-0.08,0.04,0.09,0,7.48
257,8,822.5,226.2,-0.16,0.08,0.18,0,6.31
257,9,806.0,232.0,0.00,0.00,0.00,0,12.01
259,8,822.5,226.3,-0.16,0.08,0.18,0,10.00
259,9,806.0,232.0,0.00,0.00,0.00,0,15.15
260,8,822.5,226.3,-0.16,0.08,0.18,0,12.13
260,9,806.0,232.0,0.00,0.00,0.00,0,17.24
261,8,822.5,226.3,-0.16,0.08,0.18,0,14.47
261,9,806.0,232.0,0.00,0.00,0.00,0,19.49
305,10,1399.0,970.0,0.00,0.00,0.00,0,12.01
306,10,1399.0,970.0,0.00,0.00,0.00,0,14.04
307,10,1399.0,970.0,0.00,0.00,0.00,0,16.09
309,10,1399.0,970.0,0.00,0.00,0.00,0,19.98
462,11,734.0,1215.0,0.00,0.00,0.00,0,12.01
463,11,734.0,1215.0,0.00,0.00,0.00,0,7.47
463,12,751.0,1198.0,0.00,0.00,0.00,0,12.01
464,11,738.4,1210.6,0.28,-0.28,0.39,0,6.31
464,12,757.6,1193.7,0.17,-0.11,0.20,0,7.48
466,11,738.5,1210.5,0.28,-0.28,0.39,0,10.01
466,12,757.6,1193.7,0.17,-0.11,0.20,0,10.91
467,11,738.5,1210.5,0.28,-0.28,0.39,0,12.12
467,12,757.6,1193.7,0.17,-0.11,0.20,0,13.00
468,11,738.5,1210.5,0.28,-0.28,0.39,0,14.52
468,12,757.6,1193.7,0.17,-0.11,0.20,0,15.34
499,13,1351.0,334.0,0.00,0.00,0.00,0,12.01
500,13,1340.5,335.0,-0.26,0.02,0.26,0,7.48
501,13,1335.7,333.7,-0.59,-0.07,0.60,0,6.31
503,13,1335.6,333.7,-0.59,-0.07,0.60,0,10.02
504,13,1335.6,333.7,-0.59,-0.07,0.60,0,12.11
505,13,1335.6,333.7,-0.59,-0.07,0.60,0,14.52
545,15,1398.0,996.0,0.00,0.00,0.00,0,12.01
545,16,1388.0,1000.0,0.00,0.00,0.00,0,12.01
548,17,1274.0,1023.0,0.00,0.00,0.00,0,12.01
550,20,1205.0,1032.0,0.00,0.00,0.00,0,12.01
551,20,1205.0,1032.0,0.00,0.00,0.00,0,14.04
552,20,1205.0,1032.0,0.00,0.00,0.00,0,16.09
554,20,1205.0,1032.0,0.00,0.00,0.00,0,19.97
590,22,747.0,420.0,0.00,0.00,0.00,0,12.01
590,23,751.0,429.0,0.00,0.00,0.00,0,12.01
590,24,752.0,441.0,0.00,0.00,0.00,0,12.01
592,25,749.0,439.0,0.00,0.00,0.00,0,12.01
593,25,748.0,444.9,-0.02,0.14,0.14,0,7.47
594,25,748.0,444.9,-0.02,0.14,0.14,0,9.52
596,25,748.0,444.9,-0.02,0.14,0.14,0,13.33
597,25,748.0,444.9,-0.02,0.14,0.14,0,15.46
817,26,1502.0,751.0,0.00,0.00,0.00,0,12.01
817,27,1510.0,752.0,0.00,0.00,0.00,0,12.01
818,26,1502.0,751.0,0.00,0.00,0.00,0,14.04
818,27,1510.0,752.0,0.00,0.00,0.00,0,14.04
819,26,1502.0,751.0,0.00,0.00,0.00,0,16.09
821,26,1502.0,751.0,0.00,0.00,0.00,0,19.96
947,29,493.0,476.0,0.00,0.00,0.00,0,12.01
947,30,480.0,482.0,0.00,0.00,0.00,0,12.01
949,31,468.0,488.0,0.00,0.00,0.00,0,12.01
949,32,454.0,496.0,0.00,0.00,0.00,0,12.01
950,31,463.4,490.6,-0.11,0.06,0.13,0,7.47
950,32,454.0,496.0,0.00,0.00,0.00,0,14.04
951,31,463.4,490.6,-0.11,0.06,0.13,0,9.52
953,31,463.4,490.6,-0.11,0.06,0.13,0,13.30
954,31,463.4,490.6,-0.11,0.06,0.13,0,15.46
1142,33,1264.0,424.0,0.00,0.00,0.00,0,12.01
1144,35,1227.0,494.0,0.00,0.00,0.00,0,12.01
1145,35,1227.0,494.3,0.00,0.01,0.01,0,7.47
1146,35,1227.0,494.3,0.00,0.01,0.01,0,9.52
1148,35,1227.0,494.3,0.00,0.01,0.01,0,13.31
1149,35,1227.0,494.3,0.00,0.01,0.01,0,15.47
1243,38,1242.0,1267.0,0.00,0.00,0.00,0,12.01
1243,39,1252.0,1270.0,0.00,0.00,0.00,0,12.01
1243,40,1257.0,1270.0,0.00,0.00,0.00,0,12.01
1244,38,1242.0,1267.0,0.00,0.00,0.00,0,14.04
1244,39,1252.0,1270.0,0.00,0.00,0.00,0,14.04
1244,40,1257.0,1270.0,0.00,0.00,0.00,0,14.04
1244,41,1187.0,1253.0,0.00,0.00,0.00,0,12.01
1245,38,1242.0,1267.0,0.00,0.00,0.00,0,16.09
1247,38,1242.0,1267.0,0.00,0.00,0.00,0,19.96
1298,42,1229.0,431.0,0.00,0.00,0.00,0,12.01
1298,43,1223.0,444.0,0.00,0.00,0.00,0,12.01
1300,44,882.0,784.0,0.00,0.00,0.00,0,12.01
1300,45,884.0,792.0,0.00,0.00,0.00,0,12.01
1301,44,883.0,787.3,0.02,0.08,0.08,0,7.47
1301,45,884.0,792.0,0.00,0.00,0.00,0,14.03
1302,44,882.7,786.7,0.01,0.04,0.04,0,6.31
1304,44,882.7,786.7,0.01,0.04,0.04,0,9.97
1305,44,882.7,786.7,0.01,0.04,0.04,0,12.13
1306,44,882.7,786.7,0.01,0.04,0.04,0,14.48
1568,46,1546.0,576.0,0.00,0.00,0.00,0,12.01
1569,46,1546.0,576.0,0.00,0.00,0.00,0,14.04
1570,46,1546.0,576.0,0.00,0.00,0.00,0,16.09
1572,46,1546.0,576.0,0.00,0.00,0.00,0,19.97
1655,47,1234.0,442.0,0.00,0.00,0.00,0,12.01
