frame,track,score,x,y,hit_time,hit_confirmed,redirects
132,2,0.1123,634.3,741.7,0.250,True,0
171,6,0.0499,1288.4,528.8,0.250,True,0
208,7,0.0950,1515.5,900.1,0.250,True,0
257,8,0.0779,820.2,227.7,0.250,True,0
307,10,0.0403,1399.8,970.0,0.250,True,0
464,11,0.0833,747.2,1202.8,0.250,True,0
501,13,0.0531,1325.2,331.6,0.250,True,0
552,20,0.0490,1205.0,1032.0,0.250,True,0
594,25,0.0681,747.6,445.0,0.250,True,0
819,26,0.0451,1501.7,751.3,0.250,True,0
951,31,0.0508,463.4,491.3,0.250,True,0
1146,35,0.0758,1227.5,494.6,0.250,True,0
1245,38,0.0467,1241.2,1266.5,0.250,True,0
1302,44,0.1192,882.9,785.6,0.250,True,0
1570,46,0.0496,1546.1,575.8,0.250,True,0
1657,47,0.0632,1234.3,442.6,0.250,True,0
1706,48,0.0522,617.2,323.6,0.250,True,0
1746,49,0.0482,1260.4,675.1,0.250,True,0
1839,50,0.0729,719.0,107.3,0.250,True,0
1902,51,0.0334,1398.2,1001.6,0.250,True,0
1950,54,0.0959,868.4,1183.9,0.250,True,0
1997,56,0.0695,925.3,1346.5,0.250,True,0
2079,57,0.1108,1516.9,1058.1,0.250,True,0
2118,62,0.1097,1352.1,915.7,0.250,True,0
2155,63,0.0603,1528.4,540.3,0.250,True,0
2322,64,0.0834,1400.0,1047.2,0.250,True,0
2441,69,0.1113,1269.9,585.7,0.250,True,0
2478,71,0.0605,865.2,577.2,0.250,True,0
2529,73,0.0976,1249.1,674.0,0.250,True,0
2571,82,0.0631,484.9,622.4,0.250,True,0
2613,88,0.1223,379.9,435.8,0.250,True,0
2735,92,0.0329,1020.2,1372.7,0.250,True,0
2774,93,0.0653,969.0,1087.7,0.250,True,0
2820,94,0.1420,1038.7,933.9,0.250,True,0
2907,96,0.0665,1249.6,794.3,0.250,True,0
2956,97,0.0753,1269.8,799.5,0.250,True,0
2996,98,0.1663,1269.9,802.5,0.250,True,0
3087,101,0.1146,1394.0,997.8,0.250,True,0
3142,104,0.0617,1264.7,642.6,0.250,True,0
3179,105,0.0885,528.7,285.0,0.250,True,0
3254,106,0.0510,1250.1,1189.9,0.250,True,0
3297,110,0.0607,1143.5,378.5,0.250,True,0
3563,112,0.0557,1400.3,847.4,0.250,True,0
3600,113,0.1226,1255.3,860.5,0.250,True,0
3637,114,0.1172,996.4,786.9,0.250,True,0
3693,117,0.0999,1101.9,1028.8,0.250,True,0
3738,124,0.1056,391.1,966.9,0.250,True,0
