frame,time,vision_latency_ms,pipeline_latency_ms,ndet,ntrack,temp,cooldown
0,1772672320.9768424,29.596966996905394, 0.2738030016189441,0,0,27.8,0.0
1,1772672320.996548,17.903116000525188, 0.20149000192759559,0,0,27.8,0.0
2,1772672321.0234876,16.612313000223367, 0.2353589989070315,0,0,27.8,0.0
3,1772672321.056083,19.931807000830304, 0.23702700127614662,0,0,27.8,0.0
4,1772672321.0848527,19.932322000386193, 0.20691600002464838,0,0,27.8,0.0
5,1772672321.113569,19.57132399911643, 0.20740299805765972,0,0,27.8,0.0
6,1772672321.1652029,22.382099999958882, 0.2612529970065225,0,0,27.8,0.0
7,1772672321.1830995,16.147465001267847, 0.227668002480641,0,0,27.8,0.0
8,1772672321.1963978,11.467917000118177, 0.19898100072168745,0,0,27.8,0.0
9,1772672321.2310922,19.87320400075987, 0.23322199922404252,0,0,27.8,0.0
10,1772672321.2622032,19.585148998885415, 0.21518200082937256,0,0,27.8,0.0
11,1772672321.290032,18.86925099825021, 0.22538499979418702,0,0,27.8,0.0
12,1772672321.3221047,20.95192199703888, 0.24561100144637749,0,0,27.8,0.0
13,1772672321.3511004,20.080361999134766, 0.22126700059743598,0,0,27.8,0.0
14,1772672321.379315,18.85366799979238, 0.22679800167679787,0,0,27.8,0.0
15,1772672321.4100404,19.549087999621406, 0.22539400015375577,0,0,27.8,0.0
16,1772672321.4408221,20.284682999772485, 0.2147269988199696,0,0,27.8,0.0
17,1772672321.469855,19.355594002263388, 0.21508899953914806,0,0,27.8,0.0
18,1772672321.4993114,19.300785999803338, 0.20803300139959902,0,0,27.8,0.0
19,1772672321.5289218,19.66340999933891, 0.21340500097721815,0,0,27.8,0.0
20,1772672321.5590665,19.615976998466067, 0.23522599803982303,0,0,27.8,0.0
21,1772672321.5890808,20.13073900161544, 0.23503600095864385,0,0,27.8,0.0
22,1772672321.6177185,18.958692999149207, 0.2105069979734253,0,0,27.8,0.0
23,1772672321.6479263,20.248148000973742, 0.21119400116731413,0,0,27.8,0.0
