frame,track,score,x,y
144,14,0.0708,522.6,474.4,0.250,True,0
145,14,0.0682,524.1,475.4,0.250,True,0
146,14,0.0472,523.9,475.0,0.250,True,0
147,35,0.0456,512.2,241.2,0.250,True,0
148,35,0.0379,511.2,241.8,0.250,True,0
278,38,0.0577,933.3,6.7,0.250,True,0
279,38,0.0618,933.3,6.5,0.250,True,0
387,49,0.0630,488.8,957.7,0.250,True,1
388,49,0.0877,488.3,958.1,0.250,True,0
389,49,0.0556,487.8,957.6,0.250,True,0
390,65,0.0473,661.2,858.7,0.250,True,0
391,65,0.0382,661.6,858.7,0.250,True,0
392,64,0.0104,1228.7,96.1,0.250,True,0
393,64,0.0138,1229.5,96.8,0.250,True,0
399,80,0.0552,726.7,313.6,0.250,True,0
400,80,0.0619,726.1,314.0,0.250,True,0
