frame,time,detections,tracks,latency_ms,max_speed
0,1769118017.5535452,0,0,53.09880001004785,0.0
1,1769118017.5835412,0,0,10.29559993185103,0.0
2,1769118017.6154382,0,0,10.305000003427267,0.0
3,1769118017.6464424,0,0,10.507900035008788,0.0
4,1769118017.6766264,0,0,10.205899947322905,0.0
5,1769118017.707403,0,0,8.98739998228848,0.0
6,1769118017.7344012,0,0,9.384400094859302,0.0
7,1769118017.763399,0,0,9.534199954941869,0.0
8,1769118017.7927496,0,0,10.20509994123131,0.0
9,1769118017.8193746,0,0,9.56830009818077,0.0
10,1769118017.849375,0,0,9.71919996663928,0.0
11,1769118017.8803718,0,0,10.46330004464835,0.0
12,1769118017.9099312,0,0,9.625299950130284,0.0
13,1769118017.933257,0,0,10.514500085264444,0.0
14,1769118017.9602582,0,0,9.457599953748286,0.0
15,1769118017.99155,0,0,11.240700026974082,0.0
16,1769118018.019068,0,0,9.236100013367832,0.0
17,1769118018.0460796,0,0,10.04530000500381,0.0
18,1769118018.0748057,0,0,10.156700038351119,0.0
19,1769118018.1013336,0,0,9.200899978168309,0.0
20,1769118018.1303391,0,0,9.795399964787066,0.0
21,1769118018.1588652,0,0,8.811400039121509,0.0
22,1769118018.1871276,0,0,10.495100053958595,0.0
23,1769118018.2167733,0,0,10.296200052835047,0.0
24,1769118018.2440903,0,0,9.939300012774765,0.0
25,1769118018.2710977,0,0,9.277899982407689,0.0
26,1769118018.300627,0,0,9.549500071443617,0.0
27,1769118018.3281214,0,0,9.847400011494756,0.0
28,1769118018.3574007,0,0,10.257299989461899,0.0
29,1769118018.3855414,0,0,10.658000013791025,0.0
30,1769118018.4138072,0,0,9.511800017207861,0.0
31,1769118018.4438093,0,0,9.917999967001379,0.0
32,1769118018.4749293,0,0,10.238800081424415,0.0
33,1769118018.505568,0,0,9.719699970446527,0.0
34,1769118018.536578,0,0,9.534800075925887,0.0
35,1769118018.553568,0,0,9.47639998048544,0.0
36,1769118018.5815685,0,0,9.442700073122978,0.0
37,1769118018.613513,0,0,10.109400027431548,0.0
38,1769118018.6449697,0,0,10.013599996455014,0.0
39,1769118018.6744974,0,0,9.167499956674874,0.0
40,1769118018.6941788,0,0,9.338699979707599,0.0
41,1769118018.7214303,0,0,8.611700031906366,0.0
42,1769118018.751431,0,0,9.719599969685078,0.0
43,1769118018.7794273,0,0,9.558200021274388,0.0
44,1769118018.8079593,0,0,9.830700000748038,0.0
45,1769118018.8349524,0,0,9.186399984173477,0.0
46,1769118018.864957,0,0,9.861800004728138,0.0
47,1769118018.8927011,0,0,9.40520002041012,0.0
48,1769118018.9202259,0,0,9.406000026501715,0.0
49,1769118018.948725,0,0,9.532500058412552,0.0
50,1769118018.9771612,0,0,8.816800080239773,0.0
51,1769118019.0071452,0,0,9.634700021706522,0.0
52,1769118019.0363321,0,0,9.04799997806549,0.0
53,1769118019.0617766,0,0,9.371799998916686,0.0
54,1769118019.1001582,2,2,19.88200005143881,0.0
55,1769118019.1391668,2,3,18.774500000290573,0.09449200332164764
56,1769118019.1631703,0,3,10.480800061486661,0.09449200332164764
57,1769118019.1951826,0,3,11.11359999049455,0.09449200332164764
58,1769118019.2270107,1,4,11.675999965518713,0.09449200332164764
59,1769118019.2580116,2,6,10.96099999267608,0.09449200332164764
60,1769118019.2925444,2,6,13.719899929128587,0.09449200332164764
