frame,time,vision_latency_ms,pipeline_latency_ms,ndet,ntrack,temp,cooldown,suppressed
0,1776955428.570396,28.242191999993338, 0.24626399999760906,0,0,27.8,0.0,0
1,1776955428.6361613,27.32286900001668, 0.2562900000100399,0,0,27.8,0.0,0
2,1776955428.6512163,13.242250000018885, 0.2146639999978106,0,0,27.8,0.0,0
3,1776955428.6809223,17.96695500001988, 0.23708300000180316,0,0,27.8,0.0,0
4,1776955428.7102559,18.860216999996737, 0.21380700002282538,0,0,27.8,0.0,0
5,1776955428.736917,17.52608099999975, 0.22572000000309345,0,0,27.8,0.0,0
6,1776955428.7667022,18.66783299999497, 0.21819899998831715,0,0,27.8,0.0,0
7,1776955428.7975388,19.346786999989263, 0.21468200000640536,0,0,27.8,0.0,0
8,1776955428.8259573,18.352281000005632, 0.22540400001958005,0,0,27.8,0.0,0
9,1776955428.856343,19.265727000004063, 0.24649700000622943,0,0,27.8,0.0,0
10,1776955428.8861194,18.756626999987702, 0.2369569999984833,0,0,27.8,0.0,0
11,1776955428.9142382,17.66092100001515, 0.22351300000877927,0,0,27.8,0.0,0
12,1776955428.9465346,19.763619999991988, 0.22343300000216004,0,0,27.8,0.0,0
13,1776955428.9755855,19.105082999999468, 0.23250499998539453,0,0,27.8,0.0,0
14,1776955429.0042496,18.26017100000854, 0.21885900000029324,0,0,27.8,0.0,0
15,1776955429.0349286,19.17748100001404, 0.2308089999871754,0,0,27.8,0.0,0
16,1776955429.0644083,19.024679999972705, 0.22220900001457267,0,0,27.8,0.0,0
17,1776955429.0956552,18.835378000005676, 0.2179709999836632,0,0,27.8,0.0,0
18,1776955429.126259,19.178151000005528, 0.2273559999821373,0,0,27.8,0.0,0
19,1776955429.1526058,17.695616999986896, 0.22688499998935185,0,0,27.8,0.0,0
20,1776955429.1828594,18.654069000007212, 0.2323159999946256,0,0,27.8,0.0,0
21,1776955429.2132204,19.487158999993426, 0.22337100000413557,0,0,27.8,0.0,0
22,1776955429.2434556,19.528086000008216, 0.22418199998242017,0,0,27.8,0.0,0
23,1776955429.271836,18.237172999988616, 0.24454999999079519,0,0,27.8,0.0,0
24,1776955429.3042266,18.812453000009555, 0.27248899999676723,0,0,27.8,0.0,0
25,1776955429.334319,21.061564000007138, 0.22013800000308947,0,0,27.8,0.0,0
26,1776955429.3659675,21.28730699999437, 0.22833399998489767,0,0,27.8,0.0,0
27,1776955429.3874414,15.730211000004601, 0.22708100001977982,0,0,27.8,0.0,0
28,1776955429.4234247,20.97570300000484, 0.2604400000052465,0,0,27.8,0.0,0
29,1776955429.4523547,19.8065339999971, 0.21289100001808947,0,0,27.8,0.0,0
30,1776955429.4822357,19.810937000016793, 0.21309499999233594,0,0,27.8,0.0,0
31,1776955429.512286,19.7430129999816, 0.21525200000382938,0,0,27.8,0.0,0
32,1776955429.5415452,19.335267000002432, 0.22664499999791587,0,0,27.8,0.0,0
33,1776955429.5715992,19.819443000017145, 0.21386399998846173,0,0,27.8,0.0,0
34,1776955429.6012607,20.248521000013397, 0.21786899998232911,0,0,27.8,0.0,0
35,1776955429.6268117,17.71332600000619, 0.236185000005662,0,0,27.8,0.0,0
36,1776955429.6616328,20.516624999999067, 0.22112399997809007,0,0,27.8,0.0,0
37,1776955429.6903336,19.73871300000951, 0.2126960000055078,0,0,27.8,0.0,0
38,1776955429.719601,19.48732400001063, 0.21372599999835984,0,0,27.8,0.0,0
39,1776955429.7494278,19.884681999997156, 0.21647399998414585,0,0,27.8,0.0,0
40,1776955429.7791448,19.855694000000312, 0.21685200002252714,0,0,27.8,0.0,0
41,1776955429.8083358,18.99718699999653, 0.21430499998587038,0,0,27.8,0.0,0
42,1776955429.8393853,20.015270000016017, 0.21151499998950385,0,0,27.8,0.0,0
43,1776955429.8685424,19.71385100000589, 0.23169300001768534,0,0,27.8,0.0,0
44,1776955429.897753,19.424493000002485, 0.24285699998927157,0,0,27.8,0.0,0
45,1776955429.9280834,19.71322100001771, 0.2692829999944024,0,0,27.8,0.0,0
46,1776955429.958217,20.439205999991827, 0.20940199999586184,0,0,27.8,0.0,0
47,1776955429.9838789,17.206436999998687, 0.22143699999332966,0,0,27.8,0.0,0
48,1776955430.0173972,20.952393000015945, 0.21178700001200923,0,0,27.8,0.0,0
49,1776955430.0468652,19.89083300000516, 0.23718799999983275,0,0,27.8,0.0,0
50,1776955430.0769007,20.00673099999517, 0.23028399999702742,0,0,27.8,0.0,0
51,1776955430.1065497,19.9402239999813, 0.22329999998760286,0,0,27.8,0.0,0
52,1776955430.1358306,19.481619000004002, 0.23271599999930004,0,0,27.8,0.0,0
53,1776955430.165243,19.425158000018428, 0.2156799999966097,0,0,27.8,0.0,0
54,1776955430.1944623,19.186999999988075, 0.22122400000057496,0,0,27.8,0.0,0
55,1776955430.2249787,19.639207000011538, 0.24981499998943946,0,0,27.8,0.0,0
56,1776955430.2545753,19.19933599998558, 0.22680899999727444,0,0,27.8,0.0,0
57,1776955430.28117,17.701367999990225, 0.22255599998288744,0,0,27.8,0.0,0
58,1776955430.31452,20.486331000000746, 0.2924880000136909,0,0,27.8,0.0,0
59,1776955430.3436794,19.906221000013602, 0.22643500000185668,0,0,27.8,0.0,0
60,1776955430.3737154,19.88380999998185, 0.2218730000151936,0,0,27.8,0.0,0
61,1776955430.402646,19.53492699999515, 0.22882499999354877,0,0,27.8,0.0,0
62,1776955430.4348416,21.103242999998884, 0.23106300000108604,0,0,27.8,0.0,0
63,1776955430.4614878,18.895860999975866, 0.22458600000163642,0,0,27.8,0.0,0
64,1776955430.4931312,20.365963000017473, 0.2146659999766598,0,0,27.8,0.0,0
65,1776955430.5209386,19.126728000003368, 0.24646899998970184,0,0,27.8,0.0,0
66,1776955430.5498357,19.28647200000455, 0.22360100001606042,0,0,27.8,0.0,0
67,1776955430.58285,21.12090099998909, 0.24095399999168876,0,0,27.8,0.0,0
68,1776955430.6098683,18.633043999983556, 0.2246479999996609,0,0,27.8,0.0,0
69,1776955430.641548,20.397340999977587, 0.2213440000105038,0,0,27.8,0.0,0
70,1776955430.670678,19.377332999994223, 0.22430600000689083,0,0,27.8,0.0,0
71,1776955430.6995513,19.273545000004333, 0.22435700000755787,0,0,27.8,0.0,0
72,1776955430.730376,20.341010000009874, 0.21316900000556416,0,0,27.8,0.0,0
73,1776955430.7610934,20.529885999991393, 0.21738899999945716,0,0,27.8,0.0,0
74,1776955430.7888334,18.946684000013647, 0.23359599998684644,0,0,27.8,0.0,0
75,1776955430.8209348,20.553423999984943, 0.2203900000097292,0,0,27.8,0.0,0
76,1776955430.848865,19.357281999987208, 0.23438000002329318,0,0,27.8,0.0,0
77,1776955430.8793242,19.2282739999996, 0.21351300000560514,0,0,27.8,0.0,0
78,1776955430.9039788,17.29461799999399, 0.23279600000591927,0,0,27.8,0.0,0
79,1776955430.9384713,20.22863799999186, 0.21394000000896085,0,0,27.8,0.0,0
80,1776955430.9678996,19.64798400001655, 0.23293499998544576,0,0,27.8,0.0,0
