frame,track,score,x,y,hit_time,hit_confirmed,redirects
126,0,0.0759,1132.5,1114.6,0.250,True,0
204,22,0.0655,857.8,1164.3,0.250,True,0
399,47,0.0721,955.4,1122.8,0.250,True,0
498,64,0.1025,757.3,920.0,0.250,True,0
659,68,0.0820,1515.2,824.3,0.250,True,0
696,74,0.0704,784.6,1219.4,0.250,True,0
791,82,0.0432,1226.0,477.6,0.250,True,0
881,83,0.1193,1539.8,788.9,0.250,True,0
918,85,0.0997,1192.8,378.9,0.250,True,0
1043,87,0.1073,1189.7,204.0,0.250,True,0
1137,107,0.0512,867.7,1077.1,0.250,True,0
1360,126,0.0407,965.4,152.0,0.250,True,0
1584,129,0.0775,585.6,443.3,0.250,True,0
