frame,track,score,x,y,hit_time,hit_confirmed,redirects
4767,914,0.0921,805.7,1079.9,0.250,True,0
4806,926,0.1253,877.0,1216.5,0.250,True,0
4845,934,0.1054,499.7,945.9,0.250,True,0
4884,941,0.1060,772.3,1169.4,0.250,True,0
4923,948,0.0631,438.7,1095.6,0.250,True,0
4971,952,0.1036,636.1,1308.6,0.250,True,0
5010,958,0.0960,1443.4,1174.2,0.250,True,0
5049,964,0.0964,1037.8,1191.3,0.250,True,0
5088,978,0.1445,1030.4,1248.9,0.250,True,0
5127,991,0.1177,1260.2,1061.7,0.250,True,0
5166,1011,0.1437,1193.1,1076.7,0.250,True,0
5205,1032,0.1195,884.1,1123.8,0.250,True,0
5244,1047,0.1022,1183.0,1138.7,0.250,True,0
5283,1058,0.1149,916.3,882.8,0.250,True,0
5322,1063,0.1244,1053.8,1153.6,0.250,True,0
5361,1074,0.1309,1401.4,1212.6,0.250,True,0
5400,1084,0.0944,745.3,1108.8,0.250,True,0
5439,1101,0.1315,690.1,1350.5,0.250,True,0
5478,1112,0.0882,786.8,808.6,0.250,True,0
5517,1123,0.1123,985.6,1289.6,0.250,True,0
5556,1131,0.1538,1060.5,1372.1,0.250,True,0
5595,1143,0.1316,754.8,1340.5,0.250,True,0
5634,1153,0.1096,571.6,871.6,0.250,True,0
5673,1160,0.1035,925.2,1309.0,0.250,True,0
5712,1164,0.1341,1162.6,1317.6,0.250,True,0
5751,1171,0.1341,980.8,1326.7,0.250,True,0
5796,1174,0.0539,1040.7,748.2,0.250,True,0
5833,1175,0.1058,1349.1,1180.5,0.250,True,0
5871,1182,0.1068,804.7,1103.8,0.250,True,0
5912,1190,0.1074,301.1,688.4,0.250,True,0
5951,1193,0.1066,560.6,632.1,0.250,True,0
5988,1194,0.0693,1025.0,1177.9,0.250,True,0
6027,1206,0.1092,653.9,1216.4,0.250,True,0
6078,1209,0.0476,307.5,550.1,0.250,True,0
6117,1215,0.0931,640.2,1091.8,0.250,True,0
6156,1219,0.0949,828.7,861.1,0.250,True,0
6196,1223,0.0624,693.3,1194.3,0.250,True,0
6234,1230,0.0956,488.3,1014.7,0.250,True,0
6273,1239,0.1216,421.3,1046.5,0.250,True,0
6312,1247,0.0738,1434.9,844.1,0.250,True,0
6351,1250,0.1582,1400.0,961.2,0.250,True,0
6389,1252,0.1053,1432.7,826.4,0.250,True,0
6426,1254,0.0661,400.3,619.9,0.250,True,0
6465,1267,0.1089,628.6,951.2,0.250,True,0
6504,1284,0.1197,564.2,773.0,0.250,True,0
6543,1293,0.0836,911.3,1357.7,0.250,True,0
6582,1301,0.1231,1202.4,1238.4,0.250,True,0
6621,1312,0.0971,1368.6,807.3,0.250,True,0
6660,1317,0.0612,1017.4,982.8,0.250,True,0
6699,1334,0.1089,1118.7,1235.1,0.250,True,0
6738,1341,0.1377,848.7,1332.1,0.250,True,0
6777,1350,0.1340,867.6,1270.5,0.250,True,0
6816,1367,0.1331,1045.1,1325.8,0.250,True,0
6855,1382,0.1302,666.8,1246.0,0.250,True,0
6894,1394,0.0903,1041.0,575.7,0.250,True,0
6933,1404,0.1073,1310.2,948.6,0.250,True,0
6972,1411,0.0420,412.4,886.7,0.250,True,0
7009,1414,0.1058,934.1,1220.2,0.250,True,0
7047,1416,0.1374,857.8,1409.4,0.250,True,0
7086,1424,0.1159,1034.6,1289.9,0.250,True,0
7125,1431,0.0913,287.6,934.6,0.250,True,0
7179,1437,0.1044,780.8,1221.7,0.250,True,0
7218,1442,0.0739,1447.1,900.1,0.250,True,0
7257,1450,0.1252,1429.7,1137.6,0.250,True,0
7296,1455,0.0624,374.7,837.0,0.250,True,0
7335,1458,0.0624,631.2,1089.3,0.250,True,0
7374,1462,0.1439,650.9,1113.2,0.250,True,0
7435,1468,0.1152,539.8,1129.4,0.250,True,0
7473,1473,0.0819,664.1,633.7,0.250,True,0
7512,1478,0.0419,1312.6,1255.8,0.250,True,0
7549,1479,0.0608,385.8,615.4,0.250,True,0
7587,1485,0.0914,889.3,1274.5,0.250,True,0
7626,1495,0.1583,898.7,1391.0,0.250,True,0
7665,1505,0.0971,1325.6,870.5,0.250,True,0
7714,1508,0.0914,695.1,683.6,0.250,True,0
7753,1509,0.1028,275.3,892.3,0.250,True,0
7791,1513,0.0954,400.7,1023.1,0.250,True,0
7828,1515,0.1023,712.6,1320.4,0.250,True,0
7866,1520,0.1215,774.1,1079.9,0.250,True,0
7905,1531,0.1264,1223.9,1339.6,0.250,True,0
7944,1536,0.0930,1151.5,625.3,0.250,True,0
7983,1543,0.0985,1113.5,323.4,0.250,True,0
8022,1557,0.0979,686.9,688.0,0.250,True,0
8061,1569,0.1072,700.1,926.1,0.250,True,0
8100,1580,0.1191,1027.5,891.5,0.250,True,0
8139,1589,0.1276,1311.7,1237.3,0.250,True,0
8178,1603,0.1065,700.6,1374.0,0.250,True,0
8217,1615,0.1136,1108.4,1048.8,0.250,True,0
8256,1625,0.1389,1320.5,1087.3,0.250,True,0
8295,1633,0.1060,759.7,1215.3,0.250,True,0
8334,1645,0.1413,894.1,1209.8,0.250,True,0
8373,1657,0.1342,1232.1,1231.8,0.250,True,0
8412,1668,0.1346,1016.9,1374.6,0.250,True,0
8451,1679,0.1228,1204.8,1124.7,0.250,True,0
8490,1691,0.1084,1249.0,951.9,0.250,True,0
8529,1699,0.0968,958.2,1366.2,0.250,True,0
8568,1708,0.1312,976.0,1099.6,0.250,True,0
8607,1720,0.1046,1236.8,1134.0,0.250,True,0
8646,1724,0.1075,706.1,921.1,0.250,True,0
8685,1732,0.1229,389.7,746.2,0.250,True,0
8724,1748,0.0888,641.6,1201.2,0.250,True,0
8763,1764,0.1199,424.0,954.8,0.250,True,0
8802,1776,0.1177,1072.2,909.3,0.250,True,0
8841,1784,0.0729,574.6,522.7,0.250,True,0
8887,1787,0.0701,1280.5,1248.1,0.250,True,0
8925,1801,0.1225,1194.7,1252.5,0.250,True,0
8964,1806,0.0975,1440.8,727.0,0.250,True,0
9003,1812,0.0588,570.8,909.2,0.250,True,0
9042,1815,0.1265,705.7,1137.8,0.250,True,0
9081,1821,0.1062,921.0,1243.5,0.250,True,0
9120,1825,0.1283,510.7,1063.2,0.250,True,0
9159,1835,0.1131,970.7,1327.6,0.250,True,0
9198,1844,0.1105,675.4,1259.4,0.250,True,0
9237,1853,0.1210,1117.3,1361.9,0.250,True,0
9276,1857,0.0889,1453.2,1082.0,0.250,True,0
9317,1859,0.1016,954.7,1390.4,0.250,True,0
9354,1868,0.1199,922.5,1355.9,0.250,True,0
9391,1873,0.1034,624.3,1329.2,0.250,True,0
9429,1881,0.1008,1213.9,1217.8,0.250,True,0
9468,1885,0.0617,876.4,1044.4,0.250,True,0
9507,1888,0.1124,942.4,733.4,0.250,True,0
9546,1894,0.1125,1324.5,1081.7,0.250,True,0
9585,1902,0.1129,973.6,1136.0,0.250,True,0
9622,1904,0.1118,472.5,839.7,0.250,True,0
9660,1907,0.0519,881.3,1325.4,0.250,True,0
9699,1915,0.0648,1042.7,1075.6,0.250,True,0
9762,1918,0.0939,765.3,1290.9,0.250,True,0
9864,1920,0.0974,1483.7,1048.1,0.250,True,0
9903,1933,0.1049,959.9,1317.6,0.250,True,0
9942,1937,0.0948,562.3,810.4,0.250,True,0
9981,1943,0.1195,641.1,1124.4,0.250,True,0
10019,1948,0.0935,784.3,1267.9,0.250,True,0
10071,1949,0.0812,1381.3,632.6,0.250,True,0
10110,1958,0.0750,1171.4,1282.1,0.250,True,0
10148,1960,0.1072,765.7,1186.1,0.250,True,0
10185,1962,0.1220,765.9,1189.8,0.250,True,0
10224,1966,0.0513,1405.7,1060.2,0.250,True,0
10263,1975,0.1317,1237.5,1293.6,0.250,True,0
10307,1977,0.0527,1400.5,701.7,0.250,True,0
10371,1978,0.1245,1432.3,797.4,0.250,True,0
10418,1982,0.0693,1403.6,622.3,0.250,True,0
10455,1983,0.0881,1461.3,995.5,0.250,True,0
10494,1990,0.0840,744.4,1240.6,0.250,True,0
10533,1998,0.1134,1009.8,883.3,0.250,True,0
10572,2010,0.1141,941.9,1313.4,0.250,True,0
10611,2026,0.1473,1098.3,1358.3,0.250,True,0
10650,2045,0.1231,819.0,1185.1,0.250,True,0
10689,2059,0.1470,794.3,1290.5,0.250,True,0
10728,2070,0.1513,598.2,1284.8,0.250,True,0
10767,2077,0.0592,577.3,840.6,0.250,True,0
10806,2087,0.1198,502.5,999.5,0.250,True,0
10845,2106,0.1322,641.2,1222.2,0.250,True,0
10884,2114,0.0398,1322.9,554.6,0.250,True,0
10923,2120,0.0368,489.6,1166.7,0.250,True,0
