frame,track,x,y,vx,vy,speed,state,cov
1,2,458.0,347.0,0.00,0.00,0.00,0,12.03
2,2,457.0,346.0,-0.05,-0.05,0.06,0,7.49
3,2,457.0,346.0,-0.05,-0.05,0.06,0,9.53
5,2,457.0,346.0,-0.05,-0.05,0.06,0,13.36
6,2,457.0,346.0,-0.05,-0.05,0.06,0,15.62
38,4,933.0,649.0,0.00,0.00,0.00,0,12.01
38,5,919.0,654.0,0.00,0.00,0.00,0,12.01
40,6,893.0,656.0,0.00,0.00,0.00,0,12.01
41,6,888.7,655.7,-0.09,-0.01,0.09,0,7.47
41,7,864.0,654.0,0.00,0.00,0.00,0,12.01
42,6,882.9,655.2,-0.45,-0.03,0.46,0,6.30
44,6,882.8,655.2,-0.45,-0.03,0.46,0,9.94
45,6,882.8,655.2,-0.45,-0.03,0.46,0,12.11
46,6,882.7,655.2,-0.45,-0.03,0.46,0,14.45
126,8,751.0,1184.0,0.00,0.00,0.00,0,12.01
127,8,751.0,1184.0,0.00,0.00,0.00,0,14.04
128,8,751.0,1184.0,0.00,0.00,0.00,0,16.09
130,8,751.0,1184.0,0.00,0.00,0.00,0,19.97
163,9,1176.0,320.0,0.00,0.00,0.00,0,12.01
164,9,1176.0,320.0,0.00,0.00,0.00,0,14.04
165,9,1176.0,320.0,0.00,0.00,0.00,0,16.09
167,9,1176.0,320.0,0.00,0.00,0.00,0,20.02
203,10,909.0,1095.0,0.00,0.00,0.00,0,12.01
206,12,889.0,1359.0,0.00,0.00,0.00,0,12.01
206,13,897.0,1367.0,0.00,0.00,0.00,0,12.01
213,14,1436.0,791.0,0.00,0.00,0.00,0,12.01
214,14,1434.4,791.7,-0.04,0.02,0.04,0,7.48
215,14,1430.9,792.5,-0.27,0.07,0.28,0,6.31
217,14,1430.8,792.5,-0.27,0.07,0.28,0,9.96
218,14,1430.8,792.5,-0.27,0.07,0.28,0,12.12
219,14,1430.8,792.5,-0.27,0.07,0.28,0,14.47
250,15,988.0,697.0,0.00,0.00,0.00,0,12.01
250,16,989.0,704.0,0.00,0.00,0.00,0,12.01
251,15,988.0,697.0,0.00,0.00,0.00,0,7.48
251,16,988.3,699.1,-0.02,-0.12,0.12,0,7.48
252,15,987.7,694.9,-0.02,-0.15,0.15,0,6.31
254,15,987.7,694.9,-0.02,-0.15,0.15,0,9.98
255,15,987.7,694.9,-0.02,-0.15,0.15,0,12.10
256,15,987.7,694.9,-0.02,-0.15,0.15,0,14.51
287,17,460.0,988.0,0.00,0.00,0.00,0,12.01
287,18,474.0,1002.0,0.00,0.00,0.00,0,12.01
289,19,431.0,965.0,0.00,0.00,0.00,0,12.01
289,20,446.0,977.0,0.00,0.00,0.00,0,12.01
290,19,431.3,965.3,0.01,0.01,0.01,0,7.47
290,20,436.8,969.5,-0.20,-0.16,0.25,0,7.47
291,19,428.2,962.7,-0.19,-0.16,0.25,0,6.31
293,19,428.1,962.6,-0.19,-0.16,0.25,0,9.98
294,19,428.1,962.6,-0.19,-0.16,0.25,0,12.12
295,19,428.1,962.6,-0.19,-0.16,0.25,0,14.47
326,22,1219.0,755.0,0.00,0.00,0.00,0,12.01
326,23,1222.0,764.0,0.00,0.00,0.00,0,12.01
326,24,508.0,1041.0,0.00,0.00,0.00,0,12.01
328,25,1224.0,746.0,0.00,0.00,0.00,0,12.01
328,26,487.0,1031.0,0.00,0.00,0.00,0,12.01
328,27,498.0,1037.0,0.00,0.00,0.00,0,12.01
329,25,1226.3,744.4,0.05,-0.03,0.06,0,7.46
329,26,487.3,1031.3,0.01,0.01,0.01,0,7.46
329,27,491.1,1033.4,-0.14,-0.07,0.16,0,7.46
330,25,1228.5,743.0,0.15,-0.09,0.17,0,6.30
330,26,484.9,1030.2,-0.10,-0.04,0.11,0,6.30
332,25,1228.6,743.0,0.15,-0.09,0.17,0,9.88
332,26,484.9,1030.2,-0.10,-0.04,0.11,0,9.88
333,25,1228.6,743.0,0.15,-0.09,0.17,0,12.02
333,26,484.9,1030.2,-0.10,-0.04,0.11,0,12.02
334,25,1228.6,743.0,0.15,-0.09,0.17,0,14.34
334,26,484.9,1030.2,-0.10,-0.04,0.11,0,14.34
365,29,1057.0,1237.0,0.00,0.00,0.00,0,12.01
365,30,923.0,1272.0,0.00,0.00,0.00,0,12.01
367,33,1006.0,1221.0,0.00,0.00,0.00,0,12.01
367,34,1031.0,1229.0,0.00,0.00,0.00,0,12.01
367,35,911.0,1244.0,0.00,0.00,0.00,0,12.01
367,36,917.0,1256.0,0.00,0.00,0.00,0,12.01
368,33,997.8,1218.1,-0.18,-0.07,0.19,0,7.47
368,34,1031.0,1229.0,0.00,0.00,0.00,0,14.03
368,35,911.0,1244.3,0.00,0.01,0.01,0,7.47
368,36,912.4,1248.1,-0.10,-0.17,0.20,0,7.47
369,33,993.7,1216.5,-0.44,-0.16,0.47,0,6.31
369,35,909.2,1241.2,-0.11,-0.19,0.22,0,6.31
369,34,1031.0,1229.0,0.00,0.00,0.00,0,16.08
371,33,993.6,1216.4,-0.44,-0.16,0.47,0,9.95
371,35,909.2,1241.1,-0.11,-0.19,0.22,0,9.95
371,34,1031.0,1229.0,0.00,0.00,0.00,0,19.92
372,33,993.6,1216.4,-0.44,-0.16,0.47,0,12.11
372,35,909.2,1241.1,-0.11,-0.19,0.22,0,12.11
373,33,993.6,1216.4,-0.44,-0.16,0.47,0,14.45
373,35,909.2,1241.1,-0.11,-0.19,0.22,0,14.45
404,38,710.0,717.0,0.00,0.00,0.00,0,12.01
404,39,708.0,731.0,0.00,0.00,0.00,0,12.01
406,40,701.0,683.0,0.00,0.00,0.00,0,12.01
406,41,710.0,701.0,0.00,0.00,0.00,0,12.01
407,40,701.0,683.0,0.00,0.00,0.00,0,7.47
407,41,710.0,701.0,0.00,0.00,0.00,0,14.03
407,42,1355.0,426.0,0.00,0.00,0.00,0,12.01
408,40,701.0,683.0,0.00,0.00,0.00,0,9.51
408,41,710.0,701.0,0.00,0.00,0.00,0,16.08
410,40,701.0,683.0,0.00,0.00,0.00,0,13.30
410,41,710.0,701.0,0.00,0.00,0.00,0,19.95
411,40,701.0,683.0,0.00,0.00,0.00,0,15.45
443,43,954.0,581.0,0.00,0.00,0.00,0,12.01
443,44,953.0,597.0,0.00,0.00,0.00,0,12.01
445,46,962.0,552.0,0.00,0.00,0.00,0,12.01
445,47,957.0,568.0,0.00,0.00,0.00,0,12.01
445,48,1150.0,1061.0,0.00,0.00,0.00,0,12.01
445,49,1029.0,1277.0,0.00,0.00,0.00,0,12.01
446,46,962.0,552.7,0.00,0.02,0.02,0,7.47
446,47,960.6,558.5,0.08,-0.22,0.23,0,7.47
446,48,1150.0,1061.0,0.00,0.00,0.00,0,7.47
446,49,1029.0,1277.0,0.00,0.00,0.00,0,14.03
446,50,1172.0,1054.0,0.00,0.00,0.00,0,12.01
447,46,963.3,549.1,0.08,-0.20,0.22,0,6.31
447,48,1155.4,1059.2,0.33,-0.11,0.35,0,6.31
447,49,1029.0,1277.0,0.00,0.00,0.00,0,16.08
449,46,963.3,549.1,0.08,-0.20,0.22,0,9.99
449,48,1155.5,1059.2,0.33,-0.11,0.35,0,9.99
449,49,1029.0,1277.0,0.00,0.00,0.00,0,19.97
450,46,963.3,549.1,0.08,-0.20,0.22,0,12.12
450,48,1155.5,1059.2,0.33,-0.11,0.35,0,12.12
451,46,963.3,549.1,0.08,-0.20,0.22,0,14.47
451,48,1155.5,1059.2,0.33,-0.11,0.35,0,14.47
482,51,1023.0,1079.0,0.00,0.00,0.00,0,12.01
482,52,538.0,1158.0,0.00,0.00,0.00,0,12.01
482,53,990.0,1284.0,0.00,0.00,0.00,0,12.01
484,57,1037.0,1083.0,0.00,0.00,0.00,0,12.01
484,58,1059.0,1087.0,0.00,0.00,0.00,0,12.01
484,59,995.0,1295.0,0.00,0.00,0.00,0,12.01
484,60,1001.0,1306.0,0.00,0.00,0.00,0,12.01
485,57,1043.6,1084.3,0.16,0.03,0.16,0,7.47
485,58,1064.9,1087.3,0.14,0.01,0.14,0,7.47
485,59,996.6,1297.9,0.04,0.07,0.08,0,7.47
485,60,1002.3,1308.9,0.03,0.07,0.08,0,7.47
486,57,1052.2,1085.3,0.69,0.09,0.69,0,6.31
486,58,1073.4,1086.7,0.67,-0.03,0.67,0,6.31
486,59,998.8,1301.8,0.17,0.31,0.35,0,6.31
488,57,1052.4,1085.3,0.69,0.09,0.69,0,10.00
488,58,1073.6,1086.7,0.67,-0.03,0.67,0,10.00
488,59,998.8,1301.9,0.17,0.31,0.35,0,10.00
489,57,1052.4,1085.3,0.69,0.09,0.69,0,12.13
489,58,1073.6,1086.7,0.67,-0.03,0.67,0,12.13
489,59,998.8,1301.9,0.17,0.31,0.35,0,12.13
490,57,1052.4,1085.3,0.69,0.09,0.69,0,14.49
490,58,1073.6,1086.7,0.67,-0.03,0.67,0,14.49
490,59,998.8,1301.9,0.17,0.31,0.35,0,14.49
521,61,1400.0,563.0,0.00,0.00,0.00,0,12.01
522,61,1400.0,563.0,0.00,0.00,0.00,0,14.09
523,61,1400.0,563.0,0.00,0.00,0.00,0,16.16
523,62,1552.0,682.0,0.00,0.00,0.00,0,12.01
525,61,1400.0,563.0,0.00,0.00,0.00,0,20.22
525,62,1552.0,682.0,0.00,0.00,0.00,0,15.10
526,62,1552.0,682.0,0.00,0.00,0.00,0,17.21
527,62,1552.0,682.0,0.00,0.00,0.00,0,19.50
558,63,918.0,268.0,0.00,0.00,0.00,0,12.01
559,63,920.0,264.4,0.05,-0.09,0.10,0,7.48
560,63,920.0,264.4,0.05,-0.09,0.10,0,9.52
562,63,920.0,264.4,0.05,-0.09,0.10,0,13.33
563,63,920.0,264.4,0.05,-0.09,0.10,0,15.46
595,64,922.0,896.0,0.00,0.00,0.00,0,12.01
595,65,586.0,938.0,0.00,0.00,0.00,0,12.01
595,66,1141.0,941.0,0.00,0.00,0.00,0,12.01
596,64,922.3,896.0,0.01,0.00,0.01,0,7.48
596,65,585.7,938.0,-0.01,0.00,0.01,0,7.48
596,66,1141.0,941.0,0.00,0.00,0.00,0,14.04
596,67,1202.0,827.0,0.00,0.00,0.00,0,12.01
596,68,917.0,909.0,0.00,0.00,0.00,0,12.01
596,69,597.0,944.0,0.00,0.00,0.00,0,12.01
