frame,time,vision_latency_ms,pipeline_latency_ms,ndet,ntrack,temp,cooldown,suppressed
0,1776959629.921515,34.72045499984233, 0.2890029991249321,1,1,27.8,0.0,0
1,1776959629.964292,26.67183500034298, 0.22562800040759612,1,1,27.8,0.0,0
2,1776959630.2405367,12.92562500020722, 261.738948999664,1,1,27.8,0.0,0
4,1776959630.2450109,0.2451390000715037, 0.3802210003414075,0,1,27.8,0.0,1
5,1776959630.2731688,2.1651609995387844, 0.33699300001899246,0,1,27.8,0.0,1
6,1776959630.3054585,0.17848300012701657, 0.2671470001587295,0,1,27.8,0.0,1
7,1776959630.330529,0.2638280002429383, 0.4648200001611258,0,0,27.8,0.0,1
8,1776959630.3601,0.04138900021644076, 0.44362199969327776,0,0,27.8,0.0,1
9,1776959630.3895361,0.09379700077261077, 0.40890800028137164,0,0,27.8,0.0,1
10,1776959630.4193032,0.04255899966665311, 0.4252010003256146,0,0,27.8,0.0,1
11,1776959630.4493077,0.043478999941726215, 0.41255499945691554,0,0,27.8,0.0,1
12,1776959630.4790475,0.03868799922202015, 0.48363599944423186,0,0,27.8,0.0,1
13,1776959630.5084536,0.03821300015260931, 0.41390099977434147,0,0,27.8,0.0,1
14,1776959630.5382104,0.04068399994139327, 0.42023200057883514,0,0,27.8,0.0,1
15,1776959630.568096,0.07001199992373586, 0.42253400079061976,0,0,27.8,0.0,1
16,1776959630.597534,0.09170199973596027, 0.39842900059738895,0,0,27.8,0.0,1
17,1776959630.6273048,0.039542000195069704, 0.4099380003026454,0,0,27.8,0.0,1
18,1776959630.6572058,0.04142699981457554, 0.41147899992211023,0,0,27.8,0.0,1
19,1776959630.6870472,0.03833499977190513, 0.42712300000857795,0,0,27.8,0.0,1
20,1776959630.7166052,0.04122100017411867, 0.3935919994546566,0,0,27.8,0.0,1
21,1776959630.7462468,0.03855200066027464, 0.4238259998601279,0,0,27.8,0.0,1
22,1776959630.7763228,0.1038350001181243, 0.45728199984296225,0,0,27.8,0.0,1
23,1776959630.8059754,0.037075000363984145, 0.48721600069256965,0,0,27.8,0.0,1
24,1776959630.835323,0.03996499981440138, 0.4113040004085633,0,0,27.8,0.0,1
25,1776959630.8652046,0.03969200042774901, 0.41113899987976765,0,0,27.8,0.0,1
26,1776959630.894939,0.11315800020383904, 0.4264030003469088,0,0,27.8,0.0,1
27,1776959630.9243906,0.09386400051880628, 0.3608170000006794,0,0,27.8,0.0,1
28,1776959630.9542367,0.0783909999881871, 0.3768440001294948,0,0,27.8,0.0,1
29,1776959630.984289,0.10387200018158183, 0.4234970001562033,0,0,27.8,0.0,1
30,1776959631.013979,0.04011200053355424, 0.4883680003331392,0,0,27.8,0.0,1
31,1776959631.043403,0.03997099975094898, 0.42826000026252586,0,0,27.8,0.0,1
32,1776959631.0732267,0.04077599987795111, 0.4197230000499985,0,0,27.8,0.0,1
33,1776959631.102975,0.04056999932799954, 0.41468500057817437,0,0,27.8,0.0,1
34,1776959631.1328661,0.0423379997300799, 0.5175359992790618,0,0,27.8,0.0,1
35,1776959631.1626704,0.04657399949792307, 0.41332100045110565,0,0,27.8,0.0,1
36,1776959631.1921048,0.03982900034316117, 0.4239390000293497,0,0,27.8,0.0,1
37,1776959631.2214563,0.036655000258178916, 0.4030330001114635,0,0,27.8,0.0,1
37,1776959631.2810152,29.967700999804947, 0.2561899991633254,2,2,27.8,0.0,0
38,1776959631.2961526,13.106710999636562, 0.25551999988238094,1,2,27.8,0.0,0
39,1776959631.5883474,19.569101999877603, 258.7650810000923,2,2,27.8,0.0,0
41,1776959631.5914366,0.24656300047354307, 0.2988680007547373,0,2,27.8,0.0,1
42,1776959631.6091506,1.9414319995121332, 0.32515600014448864,0,2,27.8,0.0,1
43,1776959631.641962,0.2138639993063407, 0.272609000603552,0,1,27.8,0.0,1
44,1776959631.6670916,0.22640000042883912, 0.3798570005528745,0,0,27.8,0.0,1
45,1776959631.696892,0.046769000618951395, 0.3620730003603967,0,0,27.8,0.0,1
46,1776959631.7269921,0.042302000110794324, 0.37646200053131906,0,0,27.8,0.0,1
47,1776959631.756274,0.045365000005404, 0.3365339998708805,0,0,27.8,0.0,1
48,1776959631.786174,0.04331699983595172, 0.34559400046418887,0,0,27.8,0.0,1
49,1776959631.8161218,0.0619550000919844, 0.3523719997247099,0,0,27.8,0.0,1
50,1776959631.8456078,0.04928900034428807, 0.3442590004851809,0,0,27.8,0.0,1
51,1776959631.8749053,0.0441210004282766, 0.36524900042422814,0,0,27.8,0.0,1
52,1776959631.904834,0.04564199934975477, 0.35486700016917894,0,0,27.8,0.0,1
53,1776959631.9345527,0.04919000002701068, 0.3670779997264617,0,0,27.8,0.0,1
54,1776959631.9642575,0.04764599998452468, 0.36513800023385556,0,0,27.8,0.0,1
55,1776959631.9946325,0.046547999772883486, 0.43905099937546765,0,0,27.8,0.0,1
56,1776959632.0243094,0.09626700011722278, 0.4327339993324131,0,0,27.8,0.0,1
57,1776959632.0539901,0.04104900017409818, 0.5171010006961296,0,0,27.8,0.0,1
58,1776959632.0834649,0.040052999793260824, 0.387685000532656,0,0,27.8,0.0,1
59,1776959632.11325,0.04625999918062007, 0.4137030000492814,0,0,27.8,0.0,1
60,1776959632.1431565,0.125227000353334, 0.40110999998432817,0,0,27.8,0.0,1
61,1776959632.1724703,0.09153300015896093, 0.41787400004977826,0,0,27.8,0.0,1
62,1776959632.2023113,0.04019899915874703, 0.42674999986047624,0,0,27.8,0.0,1
63,1776959632.232182,0.059550000514718704, 0.4156340000918135,0,0,27.8,0.0,1
64,1776959632.2615402,0.037509000321733765, 0.4160859998592059,0,0,27.8,0.0,1
65,1776959632.2914736,0.0959919998422265, 0.4017159999420983,0,0,27.8,0.0,1
66,1776959632.3212736,0.04263500068191206, 0.4150419999859878,0,0,27.8,0.0,1
67,1776959632.3509831,0.04076200002600672, 0.4290649994800333,0,0,27.8,0.0,1
68,1776959632.3806822,0.10690100043575512, 0.41996899926743936,0,0,27.8,0.0,1
69,1776959632.410416,0.06768999992345925, 0.4293390002203523,0,0,27.8,0.0,1
70,1776959632.4402964,0.039739999920129776, 0.4827940001632669,0,0,27.8,0.0,1
71,1776959632.4699175,0.03931999981432455, 0.43645300047501223,0,0,27.8,0.0,1
72,1776959632.499472,0.03844900038529886, 0.4293929996492807,0,0,27.8,0.0,1
73,1776959632.5297158,0.04632299987861188, 0.42714099981822073,0,0,27.8,0.0,1
74,1776959632.5590305,0.03888199989887653, 0.4354740003691404,0,0,27.8,0.0,1
74,1776959632.6189597,30.75651899962395, 0.24355400000786176,0,0,27.8,0.0,0
75,1776959632.6734638,22.3869299998114, 0.26812300075107487,0,0,27.8,0.0,0
76,1776959632.693963,16.070784000476124, 0.22406799962482182,0,0,27.8,0.0,0
77,1776959632.7239795,18.310495000150695, 0.21366800046962453,0,0,27.8,0.0,0
78,1776959632.7546155,18.878666999626148, 0.20917100027872948,0,0,27.8,0.0,0
79,1776959632.7848275,19.128341000396176, 0.23220599996420788,0,0,27.8,0.0,0
80,1776959632.8139243,18.502505000469682, 0.23183800021797651,0,0,27.8,0.0,0
81,1776959632.8441494,18.915816000117047, 0.20917900019412627,0,0,27.8,0.0,0
82,1776959632.87457,19.339010000294365, 0.22554699989996152,1,1,27.8,0.0,0
83,1776959632.9050019,19.259576999502315, 0.25327099956484744,2,2,27.8,0.0,0
84,1776959633.1919641,18.883181999626686, 258.506349999152,1,1,27.8,0.0,0
86,1776959633.19622,0.2406819994575926, 0.37003099987487076,0,1,27.8,0.0,1
87,1776959633.212817,0.26645100024325075, 0.3887310003847233,0,1,27.8,0.0,1
88,1776959633.2447932,2.2923669994270313, 0.38228699941100786,0,0,27.8,0.0,1
89,1776959633.2771068,0.0316360001306748, 0.3100809999523335,0,0,27.8,0.0,1
90,1776959633.301985,0.03843000013148412, 0.4414530003487016,0,0,27.8,0.0,1
91,1776959633.331481,0.10955200013995636, 0.35707400002138456,0,0,27.8,0.0,1
92,1776959633.361367,0.03953400027967291, 0.4163749999861466,0,0,27.8,0.0,1
93,1776959633.3911107,0.042810000195459, 0.43417199958639685,0,0,27.8,0.0,1
94,1776959633.4206924,0.0919579997571418, 0.3969250001318869,0,0,27.8,0.0,1
95,1776959633.4503,0.04139100019528996, 0.42670200036809547,0,0,27.8,0.0,1
