frame,time,vision_latency_ms,pipeline_latency_ms,ndet,ntrack,temp,cooldown,suppressed
0,1776967730.3126433,22.2636140006216, 0.1906669986055931,2,0,27.8,0.0,0
1,1776967730.3368235,18.01215099840192, 0.24794700038910378,2,2,27.8,0.0,0
2,1776967730.371363,20.677226999396225, 0.2691059999051504,2,2,27.8,0.0,0
3,1776967730.6526673,16.70624199869053, 258.9159729996027,1,1,27.8,0.0,0
5,1776967730.6562734,0.20760600091307424, 0.29996900047990493,0,1,27.8,0.0,1
6,1776967730.6753097,0.22630499915976543, 0.3378910005267244,0,1,27.8,0.0,1
7,1776967730.704858,0.22577100025955588, 0.3732390014192788,0,1,27.8,0.0,1
8,1776967730.735981,1.749205999658443, 0.3386429998499807,0,0,27.8,0.0,1
9,1776967730.7683456,0.035154000215698034, 0.26778599931276403,0,0,27.8,0.0,1
10,1776967730.7940345,0.04208000063954387, 0.3601850003178697,0,0,27.8,0.0,1
11,1776967730.8238444,0.0456020006822655, 0.35924999974668026,0,0,27.8,0.0,1
12,1776967730.853658,0.04429099863045849, 0.3423180005484028,0,0,27.8,0.0,1
13,1776967730.883111,0.060276999647612683, 0.3541120004229015,0,0,27.8,0.0,1
14,1776967730.9130018,0.043944999561063014, 0.35656699947139714,0,0,27.8,0.0,1
15,1776967730.9426568,0.044411000999389216, 0.3426039984333329,0,0,27.8,0.0,1
16,1776967730.9722757,0.044940001316717826, 0.3434790014580358,0,0,27.8,0.0,1
17,1776967731.0019011,0.04260199966665823, 0.38464099998236634,0,0,27.8,0.0,1
18,1776967731.0314274,0.045804999899701215, 0.37204900036158506,0,0,27.8,0.0,1
19,1776967731.061126,0.04764600089401938, 0.4478959999687504,0,0,27.8,0.0,1
20,1776967731.0910213,0.04863100002694409, 0.3869540014420636,0,0,27.8,0.0,1
21,1776967731.1204882,0.04674699994211551, 0.392680000004475,0,0,27.8,0.0,1
22,1776967731.150493,0.04733399873657618, 0.3542850008670939,0,0,27.8,0.0,1
23,1776967731.179854,0.041457999031990767, 0.366312000551261,0,0,27.8,0.0,1
24,1776967731.2101445,0.06651700095972046, 0.37981700006639585,0,0,27.8,0.0,1
25,1776967731.2394009,0.045507998947869055, 0.402573001338169,0,0,27.8,0.0,1
26,1776967731.2689607,0.04608499875757843, 0.37331900057324674,0,0,27.8,0.0,1
27,1776967731.2986887,0.04064899985678494, 0.35070599915343337,0,0,27.8,0.0,1
28,1776967731.3284981,0.04617400009010453, 0.374396000552224,0,0,27.8,0.0,1
29,1776967731.358263,0.04801099930773489, 0.3824010000244016,0,0,27.8,0.0,1
30,1776967731.3879526,0.042686999222496524, 0.3898470004060073,0,0,27.8,0.0,1
31,1776967731.417598,0.041109000449068844, 0.34972100002050865,0,0,27.8,0.0,1
32,1776967731.4474368,0.046892000682419166, 0.3967160009779036,0,0,27.8,0.0,1
33,1776967731.4769828,0.04250599886290729, 0.37395099934656173,0,0,27.8,0.0,1
34,1776967731.506892,0.044145999709144235, 0.3983650003647199,0,0,27.8,0.0,1
35,1776967731.536779,0.04506199911702424, 0.36228899989509955,0,0,27.8,0.0,1
36,1776967731.5665863,0.050102000386686996, 0.3337660000397591,0,0,27.8,0.0,1
37,1776967731.595855,0.041803999920375645, 0.36661699959950056,0,0,27.8,0.0,1
38,1776967731.6259093,0.04721100049209781, 0.36754699976881966,0,0,27.8,0.0,1
