frame,track,x,y,vx,vy,speed,state,cov
1,4,845.0,628.0,0.00,0.00,0.00,0,12.04
1,5,1243.0,691.0,0.00,0.00,0.00,0,12.04
1,6,613.0,837.0,0.00,0.00,0.00,0,12.04
1,7,1315.0,907.0,0.00,0.00,0.00,0,12.04
1,8,1548.0,1099.0,0.00,0.00,0.00,0,12.04
2,4,845.0,628.0,0.00,0.00,0.00,0,14.09
2,5,1243.0,691.0,0.00,0.00,0.00,0,14.09
2,6,613.0,837.0,0.00,0.00,0.00,0,7.49
2,7,1314.7,907.0,-0.02,0.00,0.02,0,7.49
2,8,1548.0,1099.0,0.00,0.00,0.00,0,14.09
2,9,1298.0,912.0,0.00,0.00,0.00,0,12.01
3,7,1311.4,908.0,-0.30,0.09,0.31,0,6.31
3,6,613.0,837.0,0.00,0.00,0.00,0,9.54
3,4,845.0,628.0,0.00,0.00,0.00,0,16.15
3,5,1243.0,691.0,0.00,0.00,0.00,0,16.15
3,8,1548.0,1099.0,0.00,0.00,0.00,0,16.15
5,7,1311.3,908.1,-0.30,0.09,0.31,0,10.01
5,6,613.0,837.0,0.00,0.00,0.00,0,13.39
5,4,845.0,628.0,0.00,0.00,0.00,0,20.20
5,5,1243.0,691.0,0.00,0.00,0.00,0,20.20
5,8,1548.0,1099.0,0.00,0.00,0.00,0,20.20
6,7,1311.3,908.1,-0.30,0.09,0.31,0,12.12
6,6,613.0,837.0,0.00,0.00,0.00,0,15.51
7,7,1311.3,908.1,-0.30,0.09,0.31,0,14.47
38,10,969.0,1002.0,0.00,0.00,0.00,0,12.01
38,11,980.0,1124.0,0.00,0.00,0.00,0,12.01
38,12,780.0,1274.0,0.00,0.00,0.00,0,12.01
38,13,1275.0,1274.0,0.00,0.00,0.00,0,12.01
38,14,794.0,1280.0,0.00,0.00,0.00,0,12.01
40,15,1386.0,705.0,0.00,0.00,0.00,0,12.01
40,16,961.0,1125.0,0.00,0.00,0.00,0,12.01
40,17,948.0,1126.0,0.00,0.00,0.00,0,12.01
