frame,track,score,x,y,hit_time,hit_confirmed,redirects
3,7,0.1066,1303.6,910.7,0.250,True,0
42,16,0.1088,945.7,1126.1,0.250,True,0
81,37,0.1418,989.6,1130.5,0.250,True,0
120,60,0.1565,854.1,1143.5,0.250,True,0
159,83,0.1304,714.3,1250.7,0.250,True,0
198,105,0.1416,909.6,1152.2,0.250,True,0
237,119,0.0965,1197.7,1176.3,0.250,True,0
276,143,0.1043,639.4,1034.4,0.250,True,0
315,179,0.1231,606.6,1157.4,0.250,True,0
354,209,0.1094,749.4,1090.2,0.250,True,0
393,238,0.1214,538.9,988.9,0.250,True,0
432,268,0.1387,760.3,993.4,0.250,True,0
471,291,0.1152,1317.3,984.0,0.250,True,0
510,311,0.0855,573.2,1080.9,0.250,True,0
549,332,0.1433,519.8,947.7,0.250,True,0
588,349,0.1195,882.3,1012.0,0.250,True,0
627,364,0.1528,1053.0,958.3,0.250,True,0
666,399,0.1384,1264.3,1184.5,0.250,True,0
705,438,0.1369,1152.1,1386.4,0.250,True,0
744,470,0.0956,1257.2,865.9,0.250,True,0
783,515,0.1222,1176.1,1038.3,0.250,True,0
822,542,0.1326,1150.6,1343.4,0.250,True,0
861,570,0.1409,1319.0,972.5,0.250,True,0
900,616,0.1437,1262.2,1098.2,0.250,True,0
939,659,0.1310,1031.1,1303.9,0.250,True,0
978,676,0.0909,1311.6,633.4,0.250,True,0
1017,715,0.1542,1359.4,769.3,0.250,True,0
1056,738,0.1152,1090.6,853.2,0.250,True,0
1095,785,0.1191,1133.1,1137.5,0.250,True,0
1134,809,0.1259,1302.8,1161.7,0.250,True,0
1173,852,0.1445,1345.4,1175.0,0.250,True,0
1212,864,0.1583,1214.2,1151.1,0.250,True,0
1251,905,0.1511,1076.5,1211.5,0.250,True,0
1290,945,0.1582,1141.6,1272.8,0.250,True,0
1329,986,0.1499,1165.5,1327.2,0.250,True,0
1368,1032,0.0991,1401.6,799.0,0.250,True,0
1407,1058,0.1393,1314.6,817.1,0.250,True,0
1446,1098,0.1297,1143.9,718.2,0.250,True,0
1485,1148,0.1311,1035.2,848.9,0.250,True,0
1524,1170,0.1445,893.5,804.0,0.250,True,0
1563,1213,0.1224,1274.4,814.6,0.250,True,0
1602,1235,0.1370,1302.8,602.7,0.250,True,0
1641,1273,0.1055,970.1,1221.1,0.250,True,0
1680,1299,0.1406,1162.2,1351.0,0.250,True,0
1719,1342,0.1411,1230.3,1217.9,0.250,True,0
1758,1369,0.1015,960.3,1209.4,0.250,True,0
1797,1411,0.1187,587.0,1103.4,0.250,True,0
1836,1443,0.1230,765.2,1295.3,0.250,True,0
1875,1480,0.1575,860.4,1174.7,0.250,True,0
1914,1520,0.1514,855.8,1027.1,0.250,True,0
1953,1559,0.1436,991.4,1144.2,0.250,True,0
1992,1605,0.1422,1089.6,1103.3,0.250,True,0
2031,1641,0.1298,1052.9,1246.6,0.250,True,0
2070,1686,0.1335,958.6,1092.5,0.250,True,0
2109,1713,0.1161,1266.3,969.3,0.250,True,0
2148,1751,0.1397,1195.1,893.6,0.250,True,0
2187,1782,0.1344,1202.5,1143.5,0.250,True,0
2226,1830,0.1368,1300.7,1114.5,0.250,True,0
2265,1871,0.1309,1272.1,1330.5,0.250,True,0
2304,1915,0.0952,1390.8,783.3,0.250,True,0
2343,1927,0.1191,1381.2,323.5,0.250,True,0
2382,1963,0.1052,1378.1,597.2,0.250,True,0
2421,2005,0.1399,1615.3,921.2,0.250,True,0
2460,2048,0.1425,1517.9,1008.4,0.250,True,0
2499,2096,0.1167,1249.4,941.0,0.250,True,0
2538,2133,0.1409,1201.2,947.9,0.250,True,0
2577,2167,0.1270,1576.4,897.5,0.250,True,0
2616,2209,0.1233,1271.4,871.1,0.250,True,0
2655,2256,0.1417,1403.5,1057.6,0.250,True,0
2694,2294,0.1309,1363.1,1152.4,0.250,True,0
2733,2337,0.1568,1386.2,1281.0,0.250,True,0
2772,2379,0.1316,1072.4,1224.6,0.250,True,0
2811,2408,0.1229,1132.6,1043.4,0.250,True,0
2850,2435,0.1431,1109.4,968.8,0.250,True,0
2889,2481,0.1156,1006.0,1377.3,0.250,True,0
2928,2507,0.1392,1061.8,1198.6,0.250,True,0
2967,2537,0.1211,988.6,1375.5,0.250,True,0
3006,2585,0.1498,1140.4,1352.2,0.250,True,0
3045,2615,0.1475,1096.0,1106.4,0.250,True,0
3084,2650,0.1339,998.4,1292.5,0.250,True,0
3123,2690,0.1095,1437.1,1083.1,0.250,True,0
3162,2724,0.1245,1380.5,872.0,0.250,True,0
3201,2758,0.1301,1511.9,553.4,0.250,True,0
3240,2803,0.1303,1533.2,739.1,0.250,True,0
3279,2837,0.1312,1302.8,633.5,0.250,True,0
3318,2876,0.1360,1362.4,615.8,0.250,True,0
3357,2917,0.1231,1372.9,671.3,0.250,True,0
3396,2965,0.1072,1408.7,1184.2,0.250,True,0
3435,3007,0.1432,1545.2,1026.0,0.250,True,0
3474,3040,0.1274,1434.4,899.8,0.250,True,0
3513,3076,0.1317,1441.6,648.4,0.250,True,0
3552,3107,0.1393,1361.4,704.4,0.250,True,0
3591,3137,0.1328,1383.0,615.2,0.250,True,0
3630,3182,0.1201,1365.4,984.3,0.250,True,0
3669,3222,0.1378,1388.0,745.5,0.250,True,0
3708,3259,0.1286,1483.3,537.6,0.250,True,0
3747,3303,0.1235,1322.1,1050.9,0.250,True,0
3786,3344,0.1467,1353.7,1026.6,0.250,True,0
3825,3371,0.1504,1250.7,975.9,0.250,True,0
3864,3417,0.1255,1123.0,972.9,0.250,True,0
3903,3439,0.1312,1099.9,872.1,0.250,True,0
3942,3483,0.1098,1095.8,778.9,0.250,True,0
3981,3517,0.1095,1026.9,297.3,0.250,True,0
4020,3559,0.1193,1330.0,327.7,0.250,True,0
4059,3595,0.0982,1073.8,1034.2,0.250,True,0
4098,3637,0.1231,1211.8,711.8,0.250,True,0
4137,3674,0.1554,1358.2,737.5,0.250,True,0
4176,3701,0.1461,1342.9,885.7,0.250,True,0
4215,3734,0.1398,1380.4,849.1,0.250,True,0
4254,3770,0.1170,1314.6,1065.8,0.250,True,0
4293,3798,0.1220,1110.7,994.3,0.250,True,0
4332,3822,0.1329,1267.9,949.9,0.250,True,0
4371,3862,0.1143,941.6,694.9,0.250,True,0
4410,3895,0.1143,1143.2,1078.5,0.250,True,0
4449,3941,0.1371,1118.2,724.2,0.250,True,0
4488,3977,0.1448,1006.9,606.5,0.250,True,0
4527,4016,0.1321,735.9,913.4,0.250,True,0
4566,4058,0.1365,503.3,871.5,0.250,True,0
4605,4104,0.1212,738.2,1311.8,0.250,True,0
4644,4129,0.1133,1027.6,1180.4,0.250,True,0
4683,4173,0.1213,1049.8,1168.0,0.250,True,0
4722,4208,0.1285,1058.9,956.8,0.250,True,0
4761,4230,0.1240,1180.5,1294.7,0.250,True,0
4800,4254,0.1381,940.3,1069.9,0.250,True,0
4839,4280,0.1468,900.3,1316.2,0.250,True,0
4878,4309,0.0989,1217.8,1106.1,0.250,True,0
4917,4328,0.1075,1158.7,851.7,0.250,True,0
4956,4347,0.1352,751.7,729.8,0.250,True,0
4995,4369,0.1591,739.8,853.2,0.250,True,0
5034,4406,0.1207,511.5,956.9,0.250,True,0
5073,4441,0.1113,420.7,997.3,0.250,True,0
5112,4478,0.0944,1135.3,1273.0,0.250,True,0
