frame,track,score,x,y
32,0,0.0916,822.1,1426.1,0.250,True,1
33,0,0.1034,821.2,1425.2,0.250,True,0
34,0,0.0653,822.2,1426.6,0.250,True,0
35,0,0.0423,822.7,1426.8,0.250,True,0
36,27,0.0088,1957.6,210.4,0.250,True,0
37,27,0.0381,1956.2,209.8,0.250,True,0
38,27,0.0195,1946.4,212.5,0.250,True,1
39,40,0.0334,1249.1,41.1,0.250,True,0
40,40,0.0383,1250.7,41.0,0.250,True,0
41,39,0.0210,1125.2,9.1,0.250,True,1
42,55,0.0433,774.1,-0.2,0.250,True,0
43,55,0.0385,774.8,0.5,0.250,True,0
44,58,0.0223,740.6,34.1,0.250,True,0
45,74,0.0514,758.3,52.4,0.250,True,0
46,74,0.0381,758.6,52.1,0.250,True,0
47,79,0.0076,1472.1,82.6,0.250,True,0
48,91,0.0755,1588.7,112.0,0.250,True,0
49,91,0.0534,1589.1,112.2,0.250,True,0
50,91,0.0370,1589.4,111.9,0.250,True,0
51,108,0.0370,1019.3,10.2,0.250,True,0
52,108,0.0383,1018.6,10.3,0.250,True,0
53,87,0.0030,1691.7,108.9,0.250,True,0
54,128,0.0402,1241.9,114.5,0.250,True,0
55,128,0.0377,1242.1,115.4,0.250,True,0
56,128,0.0262,1235.1,111.9,0.250,True,1
57,138,0.0396,759.9,46.1,0.250,True,0
58,138,0.0382,759.4,46.5,0.250,True,0
59,125,0.0090,1219.4,81.3,0.250,True,0
60,154,0.0408,796.6,21.1,0.250,True,0
61,151,0.0376,789.2,-0.3,0.250,True,0
62,154,0.0056,809.5,41.7,0.250,True,0
63,178,0.0497,840.0,80.9,0.250,True,0
64,178,0.0371,840.8,80.1,0.250,True,0
66,188,0.0396,1564.3,105.5,0.250,True,0
67,188,0.0462,1564.5,105.7,0.250,True,0
68,187,0.0077,1587.8,120.9,0.250,True,1
69,210,0.0382,1089.1,16.4,0.250,True,0
70,210,0.0376,1090.6,16.9,0.250,True,0
71,216,0.0282,980.6,40.2,0.250,True,1
72,226,0.0429,650.7,61.8,0.250,True,0
73,226,0.0373,649.5,62.8,0.250,True,0
74,231,0.0107,651.0,96.9,0.250,True,0
75,239,0.0357,1258.1,0.3,0.250,True,0
76,239,0.0379,1258.2,0.3,0.250,True,0
78,254,0.0511,875.8,0.1,0.250,True,0
79,254,0.0474,875.8,1.6,0.250,True,0
80,257,0.0096,1854.2,14.2,0.250,True,0
81,276,0.0499,1843.0,78.5,0.250,True,0
82,276,0.0378,1842.4,78.2,0.250,True,0
83,275,0.0139,1503.9,58.9,0.250,True,0
84,290,0.0486,1581.7,-0.2,0.250,True,0
85,290,0.0375,1582.4,0.4,0.250,True,0
86,293,0.0086,1725.3,14.2,0.250,True,0
