frame,time,vision_latency_ms,pipeline_latency_ms,ndet,ntrack,temp,cooldown
0,1774531626.8366716,29.815761999998358, 0.2355000001443841,0,0,27.8,0.0
1,1774531626.890385,28.027534999637282, 0.3293390000180807,0,0,27.8,0.0
2,1774531626.9062402,14.108839000073203, 0.20223000001351465,0,0,27.8,0.0
3,1774531626.9469886,23.281643000245822, 0.3204150002602546,0,0,27.8,0.0
4,1774531626.9620907,13.327183999990666, 0.20686199968622532,0,0,27.8,0.0
5,1774531627.005691,21.41013800019209, 0.23255399992194725,0,0,27.8,0.0
6,1774531627.0207448,13.283074000355555, 0.20549300006678095,0,0,27.8,0.0
7,1774531627.0338838,11.43285200032551, 0.19441400036157575,0,0,27.8,0.0
8,1774531627.0549607,12.499971000124788, 0.21088499988763942,0,0,27.8,0.0
9,1774531627.0921814,21.243399000013596, 0.2747019998423639,0,0,27.8,0.0
10,1774531627.1225674,20.596294999904785, 0.2204010002060386,0,0,27.8,0.0
11,1774531627.1496172,18.956494000121893, 0.22227299996302463,0,0,27.8,0.0
12,1774531627.182474,21.26503199997387, 0.23211400002765004,0,0,27.8,0.0
13,1774531627.2096012,19.341941000220686, 0.21328100001483108,0,0,27.8,0.0
14,1774531627.237404,18.744742999842856, 0.2040240001406346,0,0,27.8,0.0
15,1774531627.2704725,20.784583000022394, 0.21358599997256533,0,0,27.8,0.0
16,1774531627.2994933,19.84325000012177, 0.21438399971884792,0,0,27.8,0.0
17,1774531627.329485,19.596302000081778, 0.2530910001041775,0,0,27.8,0.0
18,1774531627.3625233,19.736385999749473, 0.21888799983571516,0,0,27.8,0.0
19,1774531627.3886807,18.417286000385502, 0.24239899994427105,0,0,27.8,0.0
20,1774531627.449081,22.59174700020594, 0.25220799989256193,0,0,27.8,0.0
21,1774531627.467578,16.781121999883908, 0.22294999962468864,0,0,27.8,0.0
22,1774531627.4809694,11.70392600033665, 0.21017700009906548,0,0,27.8,0.0
23,1774531627.500976,12.81841899981373, 0.21443199966597604,0,0,27.8,0.0
24,1774531627.5372062,20.44206300024598, 0.21117799997227849,0,0,27.8,0.0
25,1774531627.5680013,20.06319700012682, 0.23028400028124452,0,0,27.8,0.0
26,1774531627.5981908,20.083056000203214, 0.21103300014146953,0,0,27.8,0.0
27,1774531627.6259928,18.729785999767046, 0.2094410001518554,0,0,27.8,0.0
