frame,track,x,y,vx,vy,speed,state,cov
3,0,874.0,1317.0,0.00,0.00,0.00,0,12.05
4,0,874.0,1316.7,0.00,-0.02,0.02,0,7.50
4,1,937.0,1317.0,0.00,0.00,0.00,0,12.01
5,0,874.0,1316.7,0.00,-0.02,0.02,0,9.55
5,1,931.8,1325.8,-0.15,0.25,0.29,0,7.48
7,0,874.0,1316.7,0.00,-0.02,0.02,0,13.48
7,1,931.7,1325.9,-0.15,0.25,0.29,0,10.89
8,0,874.0,1316.7,0.00,-0.02,0.02,0,15.70
8,1,931.7,1325.9,-0.15,0.25,0.29,0,13.06
9,1,931.7,1325.9,-0.15,0.25,0.29,0,15.40
43,2,1159.0,1276.0,0.00,0.00,0.00,0,12.01
44,2,1159.0,1276.0,0.00,0.00,0.00,0,14.04
45,2,1159.0,1276.0,0.00,0.00,0.00,0,16.09
47,2,1159.0,1276.0,0.00,0.00,0.00,0,19.97
209,3,1449.0,633.0,0.00,0.00,0.00,0,12.01
209,4,1021.0,1228.0,0.00,0.00,0.00,0,12.01
211,5,1027.0,1236.0,0.00,0.00,0.00,0,12.01
211,6,1032.0,1246.0,0.00,0.00,0.00,0,12.01
212,5,1028.3,1238.6,0.03,0.06,0.07,0,7.47
212,6,1033.0,1248.3,0.02,0.06,0.06,0,7.47
213,5,1029.8,1241.8,0.13,0.27,0.30,0,6.31
215,5,1029.8,1241.9,0.13,0.27,0.30,0,9.94
216,5,1029.8,1241.9,0.13,0.27,0.30,0,12.14
217,5,1029.8,1241.9,0.13,0.27,0.30,0,14.48
248,7,1037.0,1043.0,0.00,0.00,0.00,0,12.01
248,8,1034.0,1054.0,0.00,0.00,0.00,0,12.01
250,10,1142.0,731.0,0.00,0.00,0.00,0,12.01
250,11,1031.0,1063.0,0.00,0.00,0.00,0,12.01
250,12,1026.0,1073.0,0.00,0.00,0.00,0,12.01
251,10,1141.0,731.0,-0.02,0.00,0.02,0,7.47
251,11,1029.4,1066.3,-0.04,0.08,0.09,0,7.47
251,12,1024.0,1075.6,-0.05,0.06,0.08,0,7.47
251,13,1149.0,729.0,0.00,0.00,0.00,0,12.01
252,10,1142.6,730.5,0.07,-0.03,0.08,0,6.30
252,11,1027.2,1070.1,-0.17,0.31,0.35,0,6.30
254,10,1142.6,730.5,0.07,-0.03,0.08,0,9.99
254,11,1027.2,1070.1,-0.17,0.31,0.35,0,9.99
255,10,1142.6,730.5,0.07,-0.03,0.08,0,12.12
255,11,1027.2,1070.2,-0.17,0.31,0.35,0,12.12
256,10,1142.6,730.5,0.07,-0.03,0.08,0,14.47
256,11,1027.2,1070.2,-0.17,0.31,0.35,0,14.47
287,14,1309.0,413.0,0.00,0.00,0.00,0,12.01
287,15,1306.0,424.0,0.00,0.00,0.00,0,12.01
289,16,1311.0,391.0,0.00,0.00,0.00,0,12.01
289,17,1310.0,403.0,0.00,0.00,0.00,0,12.01
290,16,1311.0,391.7,0.00,0.02,0.02,0,7.47
