frame,track,score,x,y,hit_time,hit_confirmed,redirects
3,2,0.0709,560.6,919.7,0.250,True,0
42,4,0.0898,1269.9,1293.8,0.250,True,0
485,6,0.0920,810.5,1262.6,0.250,True,0
522,8,0.0978,1412.7,959.3,0.250,True,0
559,10,0.0429,577.7,703.8,0.250,True,0
741,14,0.1040,828.8,515.9,0.250,True,0
876,18,0.1305,1035.4,619.0,0.250,True,0
915,19,0.0624,778.3,876.8,0.250,True,0
1086,22,0.1116,1152.1,1346.2,0.250,True,0
1123,24,0.0566,644.6,1336.9,0.250,True,0
1175,25,0.0376,436.0,345.6,0.250,True,0
1212,26,0.0639,1081.1,1174.9,0.250,True,0
1266,29,0.1020,463.9,1205.6,0.250,True,0
1307,30,0.0871,1014.0,1153.1,0.250,True,0
1881,37,0.0623,942.8,798.6,0.250,True,0
2066,38,0.1028,753.9,264.4,0.250,True,0
2121,42,0.0986,288.5,910.6,0.250,True,0
2340,47,0.0096,2028.5,1074.9,0.250,True,0
2379,55,0.0663,1027.4,1387.6,0.250,True,0
2443,57,0.1208,711.5,1345.6,0.250,True,0
2572,59,0.0968,798.1,1210.4,0.250,True,0
2855,61,0.0948,1147.4,1406.2,0.250,True,0
3009,64,0.1083,688.8,1179.8,0.250,True,0
3048,68,0.0576,317.3,864.4,0.250,True,0
3107,69,0.0855,797.9,1389.3,0.250,True,0
3156,70,0.0881,451.9,957.4,0.250,True,0
3209,71,0.0994,791.5,1129.6,0.250,True,0
3246,73,0.1112,864.8,897.4,0.250,True,0
3291,77,0.1008,390.3,1053.0,0.250,True,0
3330,81,0.0582,862.7,1022.7,0.250,True,0
3386,85,0.1174,671.9,1336.7,0.250,True,0
3428,87,0.1265,937.1,1370.4,0.250,True,0
3480,89,0.1483,1068.2,1356.5,0.250,True,0
3602,91,0.0604,793.2,1049.4,0.250,True,0
3639,93,0.0814,1009.0,1325.9,0.250,True,0
3695,95,0.0923,878.4,737.7,0.250,True,0
3744,97,0.0519,1325.1,1188.6,0.250,True,0
3783,100,0.1048,818.2,1244.2,0.250,True,0
3855,103,0.0546,1262.8,896.3,0.250,True,0
3892,104,0.0493,692.7,1300.0,0.250,True,0
4036,106,0.1237,915.9,1413.3,0.250,True,0
4122,108,0.0964,686.9,1296.1,0.250,True,0
