frame,track,x,y,vx,vy,speed,state,cov
1,2,532.0,919.0,0.00,0.00,0.00,0,12.02
2,2,542.5,919.3,0.43,0.01,0.43,0,7.48
3,2,548.0,919.5,0.85,0.03,0.85,0,6.32
5,2,548.3,919.5,0.85,0.03,0.85,0,10.05
6,2,548.3,919.5,0.85,0.03,0.85,0,12.26
7,2,548.3,919.5,0.85,0.03,0.85,0,14.62
40,4,1263.0,1299.0,0.00,0.00,0.00,0,12.01
41,4,1262.7,1299.3,-0.01,0.01,0.01,0,7.47
41,5,1275.0,1290.0,0.00,0.00,0.00,0,12.01
42,4,1265.6,1297.2,0.15,-0.11,0.19,0,6.30
44,4,1265.6,1297.2,0.15,-0.11,0.19,0,9.94
45,4,1265.6,1297.2,0.15,-0.11,0.19,0,12.09
46,4,1265.6,1297.2,0.15,-0.11,0.19,0,14.43
483,6,790.0,1271.0,0.00,0.00,0.00,0,12.01
484,6,789.7,1270.7,-0.01,-0.01,0.01,0,7.47
484,7,817.0,1261.0,0.00,0.00,0.00,0,12.01
485,6,796.7,1267.9,0.45,-0.19,0.49,0,6.32
485,7,827.8,1259.0,0.26,-0.05,0.27,0,7.48
487,6,796.8,1267.9,0.45,-0.19,0.49,0,10.03
487,7,827.9,1259.0,0.26,-0.05,0.27,0,10.92
488,6,796.8,1267.9,0.45,-0.19,0.49,0,12.12
488,7,827.9,1259.0,0.26,-0.05,0.27,0,12.99
489,6,796.8,1267.9,0.45,-0.19,0.49,0,14.53
489,7,827.9,1259.0,0.26,-0.05,0.27,0,15.34
520,8,1416.0,968.0,0.00,0.00,0.00,0,12.01
520,9,1425.0,984.0,0.00,0.00,0.00,0,12.01
521,8,1416.3,968.7,0.01,0.02,0.02,0,7.48
521,9,1420.4,973.8,-0.11,-0.25,0.28,0,7.48
522,8,1415.2,965.7,-0.07,-0.19,0.21,0,6.31
524,8,1415.2,965.6,-0.07,-0.19,0.21,0,9.97
525,8,1415.2,965.6,-0.07,-0.19,0.21,0,12.11
526,8,1415.2,965.6,-0.07,-0.19,0.21,0,14.52
557,10,578.0,703.0,0.00,0.00,0.00,0,12.01
558,10,578.0,703.0,0.00,0.00,0.00,0,14.04
559,10,578.0,703.0,0.00,0.00,0.00,0,16.09
561,10,578.0,703.0,0.00,0.00,0.00,0,19.95
737,11,842.0,458.0,0.00,0.00,0.00,0,12.01
739,13,847.0,474.0,0.00,0.00,0.00,0,12.01
739,14,838.0,499.0,0.00,0.00,0.00,0,12.01
740,13,844.7,480.9,-0.06,0.17,0.18,0,7.47
740,14,834.1,508.2,-0.10,0.23,0.25,0,7.47
741,14,832.5,511.0,-0.19,0.40,0.44,0,6.31
741,13,844.7,480.9,-0.06,0.17,0.18,0,9.52
743,14,832.5,511.1,-0.19,0.40,0.44,0,10.01
743,13,844.7,480.9,-0.06,0.17,0.18,0,13.33
744,14,832.4,511.1,-0.19,0.40,0.44,0,12.13
744,13,844.7,480.9,-0.06,0.17,0.18,0,15.45
745,14,832.4,511.1,-0.19,0.40,0.44,0,14.48
872,16,1057.0,631.0,0.00,0.00,0.00,0,12.01
874,18,1039.0,627.0,0.00,0.00,0.00,0,12.01
875,18,1037.4,625.4,-0.04,-0.04,0.06,0,7.48
876,18,1036.5,623.2,-0.10,-0.18,0.21,0,6.31
878,18,1036.5,623.2,-0.10,-0.18,0.21,0,9.96
879,18,1036.5,623.2,-0.10,-0.18,0.21,0,12.12
880,18,1036.5,623.2,-0.10,-0.18,0.21,0,14.47
913,19,778.0,876.0,0.00,0.00,0.00,0,12.01
914,19,778.0,876.0,0.00,0.00,0.00,0,14.02
915,19,778.0,876.0,0.00,0.00,0.00,0,16.06
917,19,778.0,876.0,0.00,0.00,0.00,0,19.82
1082,20,1142.0,1370.0,0.00,0.00,0.00,0,12.01
1082,21,1131.0,1382.0,0.00,0.00,0.00,0,12.01
1084,22,1152.0,1351.0,0.00,0.00,0.00,0,12.01
1084,23,1149.0,1361.0,0.00,0.00,0.00,0,12.01
1085,22,1152.0,1351.7,0.00,0.02,0.02,0,7.48
1085,23,1150.0,1355.1,0.02,-0.15,0.15,0,7.48
1086,22,1152.0,1349.7,0.00,-0.12,0.12,0,6.31
1088,22,1152.0,1349.7,0.00,-0.12,0.12,0,9.96
1089,22,1152.0,1349.7,0.00,-0.12,0.12,0,12.12
1090,22,1152.0,1349.6,0.00,-0.12,0.12,0,14.46
1121,24,644.0,1336.0,0.00,0.00,0.00,0,12.01
1122,24,644.0,1336.0,0.00,0.00,0.00,0,14.07
1123,24,644.0,1336.0,0.00,0.00,0.00,0,16.12
1125,24,644.0,1336.0,0.00,0.00,0.00,0,20.00
1173,25,436.0,346.0,0.00,0.00,0.00,0,12.01
1174,25,436.0,346.0,0.00,0.00,0.00,0,14.04
1175,25,436.0,346.0,0.00,0.00,0.00,0,16.09
1177,25,436.0,346.0,0.00,0.00,0.00,0,20.02
1210,26,1066.0,1177.0,0.00,0.00,0.00,0,12.01
1210,27,1041.0,1180.0,0.00,0.00,0.00,0,12.01
1211,26,1065.7,1177.0,-0.01,0.00,0.01,0,7.48
1211,27,1041.0,1180.0,0.00,0.00,0.00,0,14.04
1211,28,1085.0,1174.0,0.00,0.00,0.00,0,12.01
1212,26,1070.4,1176.5,0.32,-0.04,0.32,0,6.31
1212,27,1041.0,1180.0,0.00,0.00,0.00,0,16.09
1214,26,1070.5,1176.5,0.32,-0.04,0.32,0,9.98
1214,27,1041.0,1180.0,0.00,0.00,0.00,0,19.98
1215,26,1070.5,1176.5,0.32,-0.04,0.32,0,12.12
1216,26,1070.5,1176.5,0.32,-0.04,0.32,0,14.46
1264,29,456.0,1208.0,0.00,0.00,0.00,0,12.01
1265,29,457.6,1207.3,0.04,-0.02,0.04,0,7.47
1266,29,460.0,1206.5,0.19,-0.07,0.21,0,6.31
1268,29,460.1,1206.5,0.19,-0.07,0.21,0,9.98
1269,29,460.1,1206.5,0.19,-0.07,0.21,0,12.13
1270,29,460.1,1206.5,0.19,-0.07,0.21,0,14.48
1305,30,1004.0,1172.0,0.00,0.00,0.00,0,12.01
1306,30,1005.0,1170.0,0.02,-0.04,0.05,0,7.47
1306,31,1019.0,1143.0,0.00,0.00,0.00,0,12.01
1307,30,1008.1,1164.1,0.22,-0.42,0.48,0,6.31
1307,31,1019.7,1141.0,0.02,-0.05,0.05,0,7.48
1307,32,1028.0,1121.0,0.00,0.00,0.00,0,12.01
1309,30,1008.1,1164.0,0.22,-0.42,0.48,0,9.99
1309,31,1019.7,1141.0,0.02,-0.05,0.05,0,10.89
1309,32,1028.0,1121.0,0.00,0.00,0.00,0,15.15
1310,30,1008.1,1164.0,0.22,-0.42,0.48,0,12.13
1310,31,1019.7,1141.0,0.02,-0.05,0.05,0,13.01
1310,32,1028.0,1121.0,0.00,0.00,0.00,0,17.25
1311,30,1008.1,1164.0,0.22,-0.42,0.48,0,14.48
1311,31,1019.7,1141.0,0.02,-0.05,0.05,0,15.31
