frame,track,score,x,y,hit_time,hit_confirmed,redirects
3,3,0.0625,697.7,421.2,0.250,True,0
42,6,0.1182,597.1,445.9,0.250,True,0
81,10,0.1178,568.4,355.7,0.250,True,0
120,14,0.0565,640.7,864.4,0.250,True,0
159,18,0.0716,1272.3,183.3,0.250,True,0
198,22,0.0808,1023.9,819.5,0.250,True,0
237,27,0.1095,837.7,231.5,0.250,True,0
276,31,0.0722,735.9,199.7,0.250,True,0
315,34,0.0826,1357.5,739.4,0.250,True,0
354,39,0.0889,1151.8,1204.2,0.250,True,0
393,43,0.1118,1031.7,973.9,0.250,True,0
432,47,0.1253,659.1,879.1,0.250,True,0
471,51,0.1192,731.0,566.7,0.250,True,0
510,54,0.1125,987.5,277.5,0.250,True,0
549,58,0.1208,944.7,285.1,0.250,True,0
588,62,0.1033,529.4,649.0,0.250,True,0
627,66,0.0792,1347.1,712.8,0.250,True,0
666,71,0.0955,1108.5,604.8,0.250,True,0
705,75,0.1242,1626.8,829.3,0.250,True,0
744,79,0.0966,1131.4,669.7,0.250,True,0
783,82,0.0951,1209.0,320.1,0.250,True,0
822,86,0.0745,1015.3,1262.0,0.250,True,0
861,89,0.0663,988.8,245.5,0.250,True,0
900,93,0.0911,624.9,896.1,0.250,True,0
939,97,0.0650,701.4,612.3,0.250,True,0
978,101,0.0787,1254.7,303.5,0.250,True,0
1017,105,0.1228,1115.9,817.9,0.250,True,0
1056,110,0.1111,879.3,428.5,0.250,True,0
1095,113,0.1124,1029.4,287.5,0.250,True,0
1134,117,0.0676,1239.6,367.7,0.250,True,0
1173,121,0.0925,1027.8,172.3,0.250,True,0
1212,126,0.1035,982.9,386.3,0.250,True,0
1251,130,0.1295,733.9,465.5,0.250,True,0
1290,134,0.1166,461.9,314.7,0.250,True,0
1329,137,0.1661,466.0,313.9,0.250,True,0
1368,141,0.0867,1321.8,424.1,0.250,True,0
1407,146,0.1042,1090.2,618.5,0.250,True,0
1446,149,0.1349,1306.0,530.5,0.250,True,0
1485,154,0.0853,694.7,471.0,0.250,True,0
1524,157,0.1162,1281.2,214.0,0.250,True,0
1563,161,0.0784,590.9,797.5,0.250,True,0
1602,165,0.0838,862.7,207.4,0.250,True,0
1641,170,0.1355,1125.7,518.4,0.250,True,0
1680,173,0.1022,538.1,698.2,0.250,True,0
1719,177,0.1347,628.4,441.0,0.250,True,0
1758,181,0.0655,1264.4,1178.3,0.250,True,0
1797,185,0.0625,909.9,184.2,0.250,True,0
1836,189,0.1148,1176.2,370.8,0.250,True,0
1875,193,0.0919,406.6,555.5,0.250,True,0
1914,197,0.0659,1141.9,1051.0,0.250,True,0
